id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,
14571,,x,,,,,,yay! it should be really really easy (not including the test; I think it's just deleting 6 characters),If time permits; I'm planning to do a backport of some issues for a Struts 2.0 maintainance release. This one would definitely make it into the port.,I agree! Please backport to a 2.0.x release!,Is there any chance this fix could be backported to a 2.0.x release?,Well; in the current code; your change has been made (by me it seems); so how warnings will be printed; but the property setting will continue. I still think this should be handled better; but it should be fine for now since it works the way we want but will just print out warnings in the semi-rare case the result uses the parameters for something they weren't intended for; which at this point; it seems only to be the ServletActionRedirectResult.,The reason exceptions are ignored is result parameters are not always meant to be applied as setters. For example; the redirect results programatically access the parameters and interpret them as parameters to set on the redirect request. Therefore; there is no corresponding setter and OGNL will throw an exception. Certainly; the current implementation is ideal; but just having exceptions thrown is not the solution. Perhaps we let results declare themselves as supporting 'strict' parameter assignments?,I'm habitual...here is the patch with the Struts 2 code formatting rather than my company's formatting. Sorry for the confusion! thanks; aaron,Don't use this one...non standard code formatting.,Patch for project created from project root; includes proposed fix and test case. Proposed fix is simply to call to a more restrictive setProperties() on the OgnlUtils class which prevents exceptions from being thrown during binding. Don't use this one...non standard code formatting. See newest attachment.,If you come up with a proposed fix; please post the patch to this ticket.,,,,
38291,,,,,,,,I should have marked this resolved back in September.,,,,,,,,,,,,,
45835,,,,,,,,Integrated in Thrift #407 (See https://builds.apache.org/job/Thrift/407/) THRIFT-1517 TTransport.ReadAll() should set exception type to EndOfFile Patch: Stefan Gmeiner (Revision 1291039) Result = SUCCESS roger : http://svn.apache.org/viewvc/?view=rev&rev=1291039 Files : /thrift/trunk/lib/csharp/src/Transport/TTransport.cs,,,,,,,,,,,,,
58874,,,,,,,,Committing to https://svn.apache.org/repos/asf/mina/sshd/trunk ... M sshd-core/src/main/java/org/apache/sshd/client/UserAuth.java M sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthAgent.java M sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthPassword.java M sshd-core/src/main/java/org/apache/sshd/client/auth/UserAuthPublicKey.java M sshd-core/src/main/java/org/apache/sshd/client/session/ClientSessionImpl.java M sshd-core/src/main/java/org/apache/sshd/common/Session.java M sshd-core/src/main/java/org/apache/sshd/common/session/AbstractSession.java M sshd-core/src/main/java/org/apache/sshd/server/FileSystemFactory.java M sshd-core/src/main/java/org/apache/sshd/server/FileSystemView.java M sshd-core/src/main/java/org/apache/sshd/server/channel/ChannelSession.java M sshd-core/src/main/java/org/apache/sshd/server/command/ScpCommand.java M sshd-core/src/main/java/org/apache/sshd/server/filesystem/NativeFileSystemFactory.java M sshd-core/src/main/java/org/apache/sshd/server/filesystem/NativeFileSystemView.java M sshd-core/src/main/java/org/apache/sshd/server/session/ServerSession.java Committed r1039541,This patch adds support for the Virtual Filesystem for SCP and allowd information exchange between the authenticator and the filesystem,Sorry; I forgot the tests...I will submit a new patch,This patch adds the requested changes.,,,,,,,,,,
14704,,,,,,,,This has been committed in XWork and will be part of the XWork 2.1 release. See: http://jira.opensymphony.com/browse/XW-541,,,,,,,,,,,,,
64751,x,,,,,,,Thanks for the patch JÌ_rgen. Revision 1028760.,Of course setting this specific import to optional is a good idea - sorry; forgot that!,Thanks for the update JÌ_rgen. Anyway; I prefer to set the import package as optional in Jetty bundle pom. I'm gonna make some tests and keep you posted. Regards JB,Added import for manifest,,,,,,,,,,
41195,x,,,,,,,Thanks to Hazem Saleh for provide us this enhancement fixed at revision 655653,The patch!!!,,,,,,,,,,,,
19946,,,,,,,,Is there any documentation such as 'getting started with swarm' available? If there is; could you share links? Thanks.,,,,,,,,,,,,,
75490,,,,,,,,Ok; since you have a workaround I will close this.,I am using Sun Java 1.6.0_11 on Windows XP x86-32 bit Service Pack 3 + all current patches. It turns out that the class was already final in 1.4.1. Further debugging revealed that putting the xml-sec 1.4.2 jar file on the Java endorsed path resolved the issue. Specifically the problem was that the class org.jcp.xml.dsig.internal.dom.DOMHMACSignatureMethod contains inner classes in 1.4.2 which are not in the version shipped in the Sun Java 1.6.0_11 rt.jar.,Unfortunately; the change to make XMLSignature a final class does break any existing subclasses. But this is the first case I have heard of an issue. So a question for you is why do you need to subclass it?,,,,,,,,,,,
52597,x,,,,,,,thanks Malith for your contribution...patch committed under rev. 1326522,,,,,,,,,,,,,
15073,,,,,,,,duplicate of WW-1598,,,,,,,,,,,,,
14849,,,,,,,,Reporter asked for this to be closed.,,,,,,,,,,,,,
54763,,,,,,,,Fixed.,,,,,,,,,,,,,
31087,x,,,,,,,Patch applied. Thanks Florian.,,,,,,,,,,,,,
44873,,,,,,x,,This has been fixed for 1.1 by Upgading to POI 3.8 beta 5. Perhaps somebody with more power than me can mark this accordingly.,,,,,,,,,,,,,
57286,,,,,x,,,Not quite 100% done. Will finish in 4.2.2.,Changes in rev. 642015 merged in 4.2.x branch thus: http://svn.apache.org/viewvc?view=rev&revision=648752,Thanks. I'm still working on a patch for rw_tmpnam().,I verified that the changes made didn't break the fix to STDCXX-421. the testcase: export TMPDIR=/build/scottz/tmp; rm -rf $TMPDIR/*; ./exec -t 10 en_IN.UTF-8.sh still function properly.,The POSIX function tempnam doesn't fully specify how the name of the directory is obtained when the dir argument to the function is NULL. All known platforms (AIX; FreeBSD; HP-UX; IRIX; Linux; Solaris; Tru64) implement the following behavior: use the TMPDIR environment variable if it is set to a valid directory; otherwise use the dir argument if it points to a valid directory; otherwise us the P_tmpdir macro if it is defined to a valid directory in <stdio.h>; otherwise use /tmp The P_tmpdir macro is #defined to /tmp on AIX; Linux and Tru64 UNIX; and to /var/tmp on FreeBSD; HP-UX; Solaris; and IRIX.,See the following post(s) for proposed patches and a discussion: http://www.nabble.com/STDCXX-401-tt15967805.html http://www.nabble.com/-PATCH--STDCXX-401-part-2-tt15990851.html,The POSIX variable is actually TMPDIR _x0089_ÛÒ see http://www.opengroup.org/onlinepubs/009695399/basedefs/xbd_chap08.html#tag_08_03 Scheduled for sometime after 4.2.,Lowered priority.,,,,,,
46068,,,,x,,,,Integrated in Thrift #230 (See https://builds.apache.org/job/Thrift/230/) THRIFT-1284. cpp: fix processor inheritance Don't make processors that have a proper parent class also inherit from TProcessor. Patch: Adam Simpkins bryanduxbury : http://svn.apache.org/viewvc/?view=rev&rev=1160933 Files : /thrift/trunk/compiler/cpp/src/generate/t_cpp_generator.cc,I just committed this.,,,,,,,,,,,,
57316,,,,,,,,Fixed with the referenced change.,,,,,,,,,,,,,
409,,,,,,,,I'm backporting this to 3.4 and 3.3 branches. --Michi,,,,,,,,,,,,,
60817,,,,,,,,removing fixVersion=4.0 since there is no evidence that anyone is currently working on this issue. (this can certainly be revisited if volunteers step forward),,,,,,,,,,,,,
15793,,,,,,,,This has been fixed in CVS. You can get the latest xwork.jar (which fixes the problem) from http://ivyrep.opensymphony.com,,,,,,,,,,,,,
5491,,,,,,,,reg_name has been accepted as valid URI syntax since Xerces 2.6.0. This may change in the future if XML Schema 1.0 moves up to the RFC 3986 syntax which excludes this production. Xerces CVS currently supports the XML Schema 1.0; 2nd edition which still references RFC 2396 for the anyURI type. The version of XML Schema 1.0 supported will be clearly marked in the documentation. The relevant RFCs for anyURI may be emphasized in a FAQ.,Interesting - you guys are doing a great job. I raised the issue against 2.5 because that is what Stylus Studio ships with. Given the comment from Roy Fielding its a shame that the Digital Radio Mondiale team who wrote ETSI TS 102 821 didn't register their URI schema. In fact this URI schema has some practical problems and it being esentially deprecated by RFC 3986 is an argument I can use to try and get it changed. Luckily Annex C is informative; not normative. I will try and get the ETSI spec changed and definately not incorporate the deprecated URI in the XML schema we are designing. We have a Digital Radio Mondiale meeting next week where I should be able to get this going. I think XERCES should follow (and track) the W3C standard so the current 2.6 behaviour is correct; the 2.5 behaviour is incorrect and if W3C changes the schema spec to reference 3986 then XERCES should change with it. As far as this bug is concerned it doesn't seem like you need to implement anything but it would be nice if the exact syntax accepted by the tool was somewhere in the user documentation (if it is then my mistake but I couldn't find it by googling). Julian,Just to clarify... The report was opened against Xerces 2.5.0. Xerces has allowed the reg_name syntax since Xerces 2.6.0; so as of today the schema validator will accept dcp.tcp.pft://192.168.0.1:1002:3002?fec=1&crc=0 as a valid value of type anyURI.,Roy Fielding has confirmed that this was a deliberate decision; and is indeed an incompatibility between 2396 and 3986. According to him; 'No URI schemes were defined using the reg_name syntax of 2396; and therefore it was removed.' Probably; nobody should be using such syntax now. What to do now? This is a tough call; but I tend to fall back on the letter of the law (or the spec). The schemas spec references 2396; not 3986. Therefore Xerces should be changed to allow this syntax. This might change in schema 1.1 though; which will likely reference 3986; not 2396. However; the current working draft still references RFC 2396. I've asked the schema working group to consider this issue.,The colon isn't the only issue. The @ sign is also prohibited in reg-names in 3986 and allowed in 2396. I wonder what the working group was thinking? I suspect they were trying to make it easier to distinguish reg-names from host-based authorities; and allow user info and port to be specified for registry based authorities. This particular issue is not listed in Appendix D2 of 3986; Modifications; so I wonder if the working group noticed it?,RFC 3986 does seem to prohibit this URI. In 3986 we have: åÊåÊåÊreg-name = *( unreserved / pct-encoded / sub-delims ) åÊåÊåÊunreserved = ALPHA / DIGIT / '-' / '.' / '_' / '~' åÊåÊåÊsub-delims = '!' / '$' / '&' / ''' / '(' / ')' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ/ '*' / '+' / ';' / ';' / '=' In 3986 the colon is a general delimiter; not a sub delimiter. I'm not sure what should be done here. Schemas Part 2 normatively references 2396; not 3986; so I suppose this should be allowed. On the other hand; I can't help but think that this is really a bug in the definition of reg-names in 2396.,The value space for anyURI [1] is defined by RFC 2396 (and RFC 2732). dcp.tcp.pft://192.168.0.1:1002:3002?fec=1&crc=0 is allowed by the grammar since '192.168.0.1:1002:3002' matches reg_name. Registry-based Naming Authority (reg_name) has been supported since Xerces 2.6.0. authority = server | reg_name reg_name = 1*( unreserved | escaped | '$' | ';' | åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ';' | ':' | '@' | '&' | '=' | '+' ) unreserved = alphanum | mark mark = '-' | '_' | '.' | '!' | '~' | '*' | ''' | åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ'(' | ')' If RFC 3986 prohibits this URI then it seems the new RFC is not backwards compatible with RFC 2396. [1] http://www.w3.org/TR/2004/REC-xmlschema-2-20041028/#anyURI,Xerces is correct. This URI is syntactically incorrect according to RFC 3986. The authority component cannot have two colons when used with an IPv4 literal address. In essence; this URI tries to have two ports. I'm not familiar with the spoec you reference; but it does not appear to be conformant to the URI specification.,,,,,,
58877,,,,,,,,I haven't seen any bad behavior. I was using open ssh to test this. I used the escape character; ~; and the period character; .; with open ssh to disconnect; '~.'.,,,,,,,,,,,,,
14387,,,,,,,,we're moving away from dojo integration in struts2; so you won't likely get much traction on this issue. If you want/need this resolved; then reopen; but provide a patch that we can apply. The core devs aren't going to allocate time to the dojo plugin at this point.,,,,,,,,,,,,,
22691,,,,,,,,By the way; the javadoc for the minimum and maximum validators are still not updated (and incorrect). They need to be precise as to whether or not the endpoints are included. For example: * Gets a Double maximum validator for checking if an number is smaller than the given maximum Should read 'is at most' or 'smaller than or equal to'. Same with the other validators (including the range validators).,,,,,,,,,,,,,
4223,,,,,,,,Updated in 1.2 branch. David; please download and try 1.2 beta when it is released in a week or so.,,,,,,,,,,,,,
10856,,,,,,,,I think with the latest code; this 'pop' message should only show up if an AVT is used with an incorrect value. If AVT's aren't used; the error should be caught statically and you should see the message: Illegal value: sideways used for ENUM attribute: order. Valid values are: ascending descending. Do we have a testcase where the invalid value is in an AVT?,,,,,,,,,,,,,
36376,,,,,x,,,Oops; commit message had wrong ticket number in it; here is the commit: Author: sjiang Date: Fri Mar 19 00:59:56 2010 New Revision: 925063 URL: http://svn.apache.org/viewvc?rev=925063&view=rev Log: TS-260: fix remap filtering and parsing of src_ip Modified: incubator/trafficserver/traffic/trunk/proxy/http2/remap/UrlRewrite.cc Modified: incubator/trafficserver/traffic/trunk/proxy/http2/remap/UrlRewrite.cc URL: http://svn.apache.org/viewvc/incubator/trafficserver/traffic/trunk/proxy/http2/remap/UrlRewrite.cc?rev=925063&r1=925062&r2=925063&view=diff,Fixed previously removed filter implementation to parse src_ip and handle filtering.,,,,,,,,,,,,
49361,,,,,,,,Much cleared exception now .... org.apache.hivemind.ApplicationRuntimeException Component BadInjectComponent/border is not assignable to type org.apache.tapestry.html.Body. location: Annotation @org.apache.tapestry.annotations.InjectComponent(value=border) of public abstract org.apache.tapestry.html.Body pages.BadInjectComponent.getBorder() Stack Trace: åÊåÊåÊåÊ* org.apache.tapestry.TapestryUtils.getComponent(TapestryUtils.java:301) åÊåÊåÊåÊ* $BadInjectComponent_0.finishLoad($BadInjectComponent_0.java) åÊåÊåÊåÊ* org.apache.tapestry.pageload.PageLoader.constructComponent(PageLoader.java:470) åÊåÊåÊåÊ* org.apache.tapestry.pageload.PageLoader.loadPage(PageLoader.java:639) åÊåÊåÊåÊ* $IPageLoader_1066542252f.loadPage($IPageLoader_1066542252f.java) åÊåÊåÊåÊ* $IPageLoader_10665422530.loadPage($IPageLoader_10665422530.java) åÊåÊåÊåÊ* org.apache.tapestry.pageload.PageSource.getPage(PageSource.java:118),Here's the problem; in my HTML template I have: <span jwcid='content@Border'> This is conflicting with: åÊåÊ@InjectComponent('content') åÊåÊpublic abstract Block getContent(); åÊåÊ_$content = (org.apache.tapestry.components.Block) getComponent('content'); It would be nice if Tapestry could help me puzzle this out. I'm picturing a cast check that would report the component id; expected class; actual class and report the location as the location of the @InjectComponent (or should the location be the location of the <span>?),First trick of enhancement problems; enable debugging by updating log4j.properties: log4j.category.tapestry.enhance.ComponentConstructorFactory=debug Now I can see the generated class: ComponentConstructorFactory [DEBUG] Creating class: ClassFab[ public class $ReportInfo_26 extends com.vaisala.ww.ui.pages.report.ReportInfo åÊåÊimplements org.apache.tapestry.event.PageDetachListener private org.apache.tapestry.form.IFormComponent _$tallNoField; private org.apache.tapestry.form.IFormComponent _$otherField; private org.apache.tapestry.form.IFormComponent _$otherDetailField; private com.vaisala.ww.ui.data.UserIdentity _$userIdentity; private org.apache.tapestry.engine.state.ApplicationStateManager _$applicationStateManager; private com.vaisala.ww.ui.data.ReportProposal _$proposal; private com.vaisala.ww.ui.services.ReportProposalMapURLFactory _$mapFactory; private org.apache.tapestry.components.Block _$content; private org.apache.tapestry.services.ComponentMessagesSource _$componentMessagesSource; private org.apache.hivemind.Messages _$messages; private org.apache.tapestry.spec.IComponentSpecification _$specification; private boolean _$tallNo; private boolean _$tallNo$default; private boolean _$tallYes; private boolean _$tallYes$default; private java.lang.String _$message; private java.lang.String _$message$defaultValue; public $ReportInfo_26(org.apache.tapestry.engine.state.ApplicationStateManager $1; com.vaisala.ww.ui.services.ReportProposalMapURLFactory $2; org.apache.tapestry.services.ComponentMessagesSource $3; org.apache.tapestry.spec.IComponentSpecification $4) { åÊåÊ_$applicationStateManager = $1; åÊåÊ_$mapFactory = $2; åÊåÊ_$componentMessagesSource = $3; åÊåÊ_$specification = $4; } public java.lang.String nameAndCompany(java.lang.String $1; java.lang.String $2; java.lang.String $3) { åÊåÊjava.lang.Object[] params = new java.lang.Object[3]; åÊåÊparams[0] = $1; åÊåÊparams[1] = $2; åÊåÊparams[2] = $3; åÊåÊreturn getMessages().format('name-and-company'; params); } public java.lang.String otherIsRequired() { åÊåÊreturn getMessages().getMessage('other-is-required'); } public java.lang.String getNavigationTitle() { åÊåÊreturn getMessages().getMessage('nav-title'); } public void setUserIdentity(com.vaisala.ww.ui.data.UserIdentity $1) { åÊåÊ_$applicationStateManager.store('userIdentity'; $1); åÊåÊ_$userIdentity = $1; } public boolean isTallYes() return _$tallYes; public java.lang.String formWasCancelled() { åÊåÊreturn getMessages().getMessage('form-was-cancelled'); } public com.vaisala.ww.ui.services.ReportProposalMapURLFactory getMapFactory() return _$mapFactory; public org.apache.tapestry.form.IFormComponent getOtherField() return _$otherField; public void setProposal(com.vaisala.ww.ui.data.ReportProposal $1) { åÊåÊ_$applicationStateManager.store('reportProposal'; $1); åÊåÊ_$proposal = $1; } public boolean isTallNo() return _$tallNo; public void setTallYes(boolean $1) { åÊåÊorg.apache.tapestry.Tapestry#fireObservedChange(this; 'tallYes'; ($w) $1); åÊåÊ_$tallYes = $1; } public com.vaisala.ww.ui.data.ReportProposal getProposal() { åÊåÊif (_$proposal == null) åÊåÊåÊåÊ_$proposal = (com.vaisala.ww.ui.data.ReportProposal) _$applicationStateManager.get('reportProposal'); åÊåÊreturn _$proposal; } public org.apache.tapestry.form.IFormComponent getTallNoField() return _$tallNoField; public org.apache.tapestry.valid.IValidationDelegate getDelegate() return (org.apache.tapestry.valid.IValidationDelegate) getBeans().getBean('delegate'); public java.lang.String getMessage() return _$message; public org.apache.tapestry.form.IFormComponent getOtherDetailField() return _$otherDetailField; public com.vaisala.ww.ui.pages.UIMPage getAccountManagement() return (com.vaisala.ww.ui.pages.UIMPage)getPage().getRequestCycle().getPage('account/AccountManagement'); public java.lang.String mustSetTallYesOrNo() { åÊåÊreturn getMessages().getMessage('must-set-tall-yes-or-no'); } public com.vaisala.ww.ui.data.UserIdentity getUserIdentity() { åÊåÊif (_$userIdentity == null) åÊåÊåÊåÊ_$userIdentity = (com.vaisala.ww.ui.data.UserIdentity) _$applicationStateManager.get('userIdentity'); åÊåÊreturn _$userIdentity; } public org.apache.tapestry.spec.IComponentSpecification getSpecification() return _$specification; public void setTallNo(boolean $1) { åÊåÊorg.apache.tapestry.Tapestry#fireObservedChange(this; 'tallNo'; ($w) $1); åÊåÊ_$tallNo = $1; } public java.lang.String yesOrNo() { åÊåÊreturn getMessages().getMessage('yes-or-no'); } public void setMessage(java.lang.String $1) _$message = $1; public void pageDetached(org.apache.tapestry.event.PageEvent $1) { åÊåÊ_$userIdentity = null; åÊåÊ_$proposal = null; åÊåÊ_$tallNo = _$tallNo$default; åÊåÊ_$tallYes = _$tallYes$default; åÊåÊ_$message = _$message$defaultValue; } public org.apache.tapestry.components.Block getContent() return _$content; public org.apache.hivemind.Messages getMessages() { åÊåÊif (_$messages == null) åÊåÊåÊåÊ_$messages = _$componentMessagesSource.getMessages(this); åÊåÊreturn _$messages; } public void finishLoad(org.apache.tapestry.IRequestCycle $1; org.apache.tapestry.engine.IPageLoader $2; org.apache.tapestry.spec.IComponentSpecification $3) { åÊåÊsuper.finishLoad($$); åÊåÊ_$tallNoField = (org.apache.tapestry.form.IFormComponent) getComponent('tallNo'); åÊåÊ_$otherField = (org.apache.tapestry.form.IFormComponent) getComponent('other'); åÊåÊ_$otherDetailField = (org.apache.tapestry.form.IFormComponent) getComponent('otherDetail'); åÊåÊ_$content = (org.apache.tapestry.components.Block) getComponent('content'); åÊåÊ_$tallNo$default = _$tallNo; åÊåÊ_$tallYes$default = _$tallYes; åÊåÊ_$message$defaultValue = _$message; åÊåÊgetPage().addPageDetachListener(this); } ],,,,,,,,,,,
10314,,,,x,,,,First I want to verify that Gretchen's fix >Additional Comments From Gretchen Chiaramonte 2003-09-22 20:04 ------- for this bug works for me as well using Xalan 2.6.0. Second; regarding: >Additional Comments From Igor Hersht 2003-08-12 22:59 ------- ... >If I recall correctly we had such discussion before. >We consider that as a wrong usage. >The correct method would be to create transformer and >to do multiple transformations like >transformer.transform(xmlSource;outputTarget); >transformer.transform(xmlSource;outputTarget); To help clarify what Gretchen has already implied; I believe that this doesn't complete the story. Xalan currently fails unneccessarily if 'xmlSource' is an XMLFilter chain headed by an XML source The XMLFilter chain should be reusable with only the source is refreshed. But at the end of the TransformerImpl.transformNode() call; the DTMManager is erased by the call to XPathContext.reset() as cited by Gretchen. This manager is what binds the XMLFilter to e.g. its stylesheet. Therefore; until this bug is repaired; the filter chain cannot be reused. That's a shame because I suspect that setting up the filter chain (eg reading the stylesheet from disk) is more work than constructing the transformer. In case it isn't obvious; a workaround re-creates the XMLFilter chain each time is it transformed. I did not find this bug report at first. Sorting out why I was getting a NullPointerException was a lot of work; partly because Xalan is built in to the JDK runtime but the 'endorsed' jar files are stored in common/endorsed under tomcat rather than JDK's endorsed (surprise ;-). In addition; Xalan has another bug in DTMManagerDefault.getDTM() (incorrectly returns the null this thread discusses) and one in TransformerImpl.run() (inappropriate throw calls). I will enter these as new bugs.,Additional debugging info: If I comment out the following line in org.apache.xpath.XPathContext.reset() the problem is resolved as well. åÊåÊåÊåÊm_dtmManager = DTMManager.newInstance( åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊorg.apache.xpath.objects.XMLStringFactoryImpl.getFactory()); There is nothing in the documentation for the DTMManager class which indicates that it should be 'recreated' each time a parse is performed...,Serializer serializer = SerializerFactory.getSerializer( åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊOutputPropertiesFactory.getDefaultMethodProperties('xml')); ByteArrayOutputStream result = new ByteArrayOutputStream(); serializer.setOutputStream(result); serializer.reset(); After performing the above; any attempt to use serializer results in the same NullPointerException. The reason I believe it is the same error is that when I commented out the m_xcontext.reset(); line in TransformerImpl.reset(); this problem was resolved as well. Sorry it took me so long to respond...for some reason I never got an email when you appended this request...likely because I was out of the office; and had already received one update when the priority was changed...,Gretchen; in your note you said ' ... making an attempt to do a reset() on a Serializer object causes the exact same symptoms.' Can you give a sample testcase for this please? Is this a SerializationHandler object your are writing about; like ToXMLStream ? I have put some code in the family of serializers in org.apache.xml.serializer to make this work. This may be a separate bug from the XMLFilter problem you are having. Regards; Brian Minchau,Please note my second comment that even making an attempt to do a reset() on a Serializer object causes the exact same symptoms. Why is there a reset() method on the Serializer object if it cannot be used? Additionally; the XMLReader() documentation EXPLICITLY states that it can be reused; and XMLFilter inherits from this object. If the parent can be reused; the child should also be re-usable.,As far as I understand the problem is about multiple transformations from the same xmlFilter. The exception could be repro if we add one line to UseXMLFilters example xmlFilter3.parse(new InputSource('foo.xml')); +xmlFilter3.parse(new InputSource('foo.xml')); If I recall correctly we had such discussion before. We consider that as a wrong usage. The correct method would be to create transformer and to do multiple transformations like transformer.transform(xmlSource;outputTarget); transformer.transform(xmlSource;outputTarget); I will verify if my understanding is correct. In any case our documentation should be better. åÊåÊåÊåÊåÊåÊåÊåÊ,I would like to add that I get exactly the same symptoms when I try to do a reset() on my Serializer after it has been set as the ContentHandler for my XMLFilter. Interestingly; this symptom is also resolved by the patch I suggested above. I think that there is something not quite right in the XPathContext.reset() method; if running it can cause these types of problems...,,,,,,,
57772,,,,,,,,forgott to reslove: Actually this was fixed with http://svn.apache.org/r1459344 (21.March.2013),,,,,,,,,,,,,
