id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,
61898,,,x,,,,,bulk close for 3.4,Jenkins is reporting that branch_3x solr/src/test compilation is failing after this issue was committed. I've opened SOLR-2653 to address the problem.,trunk rev: 1146685 branch 3x rev: 1146806 Thanks David and Peter!,Patch to reflect relocated code.,No problem; man! I'm just happy you're doing the work on the reorg instead of me....,I'm just waiting for the recent code reorganization to get back to 3x I'm working on it! Hopefully finished today or tomorrow.,I'm just waiting for the recent code reorganization to get back to 3x to make this easier on myself; especially the merge step. I could have two patches; but it seems like the code reorg is hard enough as it is; making additional changes in the underlying 3x code base would just add useless complexity. But I'm willing to be convinced otherwise.,If nobody objects I'll commit this Monday. +1,don't wait too long; no need to wait until monday. +1; commit it now! Esp for a bug fix; unless one thinks there is something likely controversial about it; or one is unsure about something and is thus requesting feedback.,OK; I've applied the patch to both 3x and trunk and it looks good. If nobody objects I'll commit this Monday. don't wait too long; no need to wait until monday.,OK; I've applied the patch to both 3x and trunk and it looks good. If nobody objects I'll commit this Monday.,Here's the patch I used. As before; it's just David's with the extra changes omitted.,I'm trying to attach it; but jira is throwing a stack trace. I mentioned this problem on #asfinfra an hour or so ago - medthomas has tracked down the problem; to the ASF JIRA plugin needing to be updated for the just-upgraded JIRA instance; and he's working on fixing the problem.,Quick test works - patched the 3.2 source and rebuilding the directory and subdirctory listings work as expected. The patch I used is the same as David's but just re-rolled without the changes to SolrDisptatchFilter.java I'm trying to attach it; but jira is throwing a stack trace.,The relayout of import statements in SolrDisptatchFilter.java is inadvertent. The QueryRequest.java one-liner was a null-check that I felt was an improvement so that I didn't have to pass in an empty params list to QueryRequest's constructor.,Thanks for the patch. Is every thing in there related to this bug? Some of it looks like other cleanup.,The attached patch fixes this bug and adds new tests for a directory listing and getting a file. This bug was triggered with the introduction of SOLR-2263 in which RawResponseWriter was changed to implement BinaryQueryResponseWriter. This wasn't a problem in and of itself; but the SolrDispatchFilter checks if a response writer is the binary variant and if so calls the write(OutputStream...) variant. But the responses from ShowFileRequestHandler that list directory contents are incompatible with the RawResponseWriter if RawResponseWriter's write(OutputStream...) method is uses; instead of a character based stream. The solution was to move the defaulting of the 'raw' response type from ShowFileRequestHandler.init() into into a condition within handleRequestBody() where it knows the response is a file.,This ought to be a trivial fix; so I hope we can get it in 3.1.1; or is 3.3 going to be the next minor version?,Bulk move 3.2 -> 3.3,Same for trunk $ svn info Path: . URL: https://svn.apache.org/repos/asf/lucene/dev/trunk/solr Repository Root: https://svn.apache.org/repos/asf Repository UUID: 13f79535-47bb-0310-9956-ffa450edef68 Revision: 1130610 Node Kind: directory Schedule: normal Last Changed Author: rmuir Last Changed Rev: 1130527 Last Changed Date: 2011-06-02 14:58:22 +0200 (Thu; 02 Jun 2011) Stacktrace: INFO: [] webapp=/solr path=/admin/file params={} status=0 QTime=7 Jun 2; 2011 5:49:29 PM org.apache.solr.common.SolrException log SEVERE: java.io.IOException: did not find a CONTENT object         at org.apache.solr.response.RawResponseWriter.write(RawResponseWriter.java:113)         at org.apache.solr.servlet.SolrDispatchFilter.writeResponse(SolrDispatchFilter.java:333)         at org.apache.solr.servlet.SolrDispatchFilter.doFilter(SolrDispatchFilter.java:261)         at org.mortbay.jetty.servlet.ServletHandler$CachedChain.doFilter(ServletHandler.java:1212)         at org.mortbay.jetty.servlet.ServletHandler.handle(ServletHandler.java:399)         at org.mortbay.jetty.security.SecurityHandler.handle(SecurityHandler.java:216)         at org.mortbay.jetty.servlet.SessionHandler.handle(SessionHandler.java:182)         at org.mortbay.jetty.handler.ContextHandler.handle(ContextHandler.java:766)         at org.mortbay.jetty.webapp.WebAppContext.handle(WebAppContext.java:450)         at org.mortbay.jetty.handler.ContextHandlerCollection.handle(ContextHandlerCollection.java:230)         at org.mortbay.jetty.handler.HandlerCollection.handle(HandlerCollection.java:114)         at org.mortbay.jetty.handler.HandlerWrapper.handle(HandlerWrapper.java:152)         at org.mortbay.jetty.Server.handle(Server.java:326)         at org.mortbay.jetty.HttpConnection.handleRequest(HttpConnection.java:542)         at org.mortbay.jetty.HttpConnection$RequestHandler.headerComplete(HttpConnection.java:928)         at org.mortbay.jetty.HttpParser.parseNext(HttpParser.java:549)         at org.mortbay.jetty.HttpParser.parseAvailable(HttpParser.java:212)         at org.mortbay.jetty.HttpConnection.handle(HttpConnection.java:404)         at org.mortbay.jetty.bio.SocketConnector$Connection.run(SocketConnector.java:228)         at org.mortbay.thread.QueuedThreadPool$PoolThread.run(QueuedThreadPool.java:582),,
57081,,,,,,,,Closing as fixed.,,,,,,,,,,,,,,,,,,,,,
12989,,,,,,,,Already resolved with WW-3414,,,,,,,,,,,,,,,,,,,,,
12834,,,,,,,,Integrated in Struts2 #551 (See https://builds.apache.org/job/Struts2/551/) WW-3914 solves problem with returning always system implementation of FileManager (Revision 1405930) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/xwork-core/src/main/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactory.java /struts/struts2/trunk/xwork-core/src/test/java/com/opensymphony/xwork2/util/fs/DefaultFileManagerFactoryTest.java,,,,,,,,,,,,,,,,,,,,,
74301,x,,,,,,,Applied in r648154. Thanks!,,,,,,,,,,,,,,,,,,,,,
70122,x,,,,,,,applied patch (thanks) in r1055887,The patch enhances the tests to reproduce the problem and a simple bugfix.,,,,,,,,,,,,,,,,,,,,
20954,,,,,,,,this setting is global for all modal windows and so tweaking it from the modalwindow class doesnt really make sense. a cleaner solution then overriding the method with an empty function is to use iheadercontributor and output a bit of js into the page 'Wicket.Window.unloadConfirmation = false;',,,,,,,,,,,,,,,,,,,,,
36205,,,,,,,,as for V2.1.4 and later; we do not seen any reproduce; so mark this issue as fixed,,,,,,,,,,,,,,,,,,,,,
77185,,,,,,,,Closing all resolved/fixed issues of already released versions of Roller.,,,,,,,,,,,,,,,,,,,,,
36911,,,,,,,,This is on top of http://svn.apache.org/repos/asf/myfaces/trinidad/branches/2.0.0.1-branch,Reopening this for inclusion in 2.0.0.1-branch,ASF enabled patches,Attaching a patch file created with updated svn.,tri-doc-20110902.patch contains the documentation changes for this patch,Documentation change for patch provided.,The patch (tri-code-24082011.patch) introduces a way to specify css rules specific to touchScreen devices. TouchScreen device agents have capability marked by 'touchScreen' with valid values of none; single and multiple. Syntax implemented allows user to specify rules as follows: @agent (touchScreen:none) { åÊåÊåÊ/* Some styles that should not be rendered on touchScreen devices. */ } @agent (touchScreen:single) { åÊåÊåÊ/* some styles specific for touchScreen with single touch. */ } @agent (touchScreen:multiple) { åÊåÊåÊ/* some styles specific for touchScreen with multiple touch. */ } @agent (touchScreen) { åÊåÊåÊ/* some touchScreen specific styles for all touch devices: both single and multiple touch. */ } @agent webkit and (version: 9) and (touchScreen:single) { åÊåÊåÊ/* some touchScreen specific styles for touch devices with single touch running webkit version 6. */ } @agent gecko and (version: 6); webkit and (touchScreen:single) { åÊåÊåÊ/* styles to be rendered on version 6 of gecko agent and single touch devices running webkit */ },Patched based on @agent (touchScreen) syntax,Will be backing this out. After looking into this more; the separate renderkit for tablets is overkill and causes issues with people that have made custom skins. I am thinking that an extension to @agent in the CSS skin parser would be preferable.,Commit the patch,Patch file implementing this fix on top of http://svn.apache.org/repos/asf/myfaces/trinidad/trunk,,,,,,,,,,,
33144,,,,,,x,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,all discussion http://www.mail-archive.com/tuscany-dev@ws.apache.org/msg21712.html,,,,,,,,,,,,,,,,,,,,
67087,,,,,,,,resolved,,,,,,,,,,,,,,,,,,,,,
8053,x,,,,,,,Robert; åÊåÊåÊåÊYour patch is in; please help verify; thanks. Rgds; PeiYong,Created an attachment (id=2169) .NET Project Files in Attached Zip File,,,,,,,,,,,,,,,,,,,,
57170,,x,,,,,,Fixed thus: http://svn.apache.org/viewvc?rev=574613&view=rev,Scheduled to version 4.2.,This affects 4.1.3. I'll let Farid decide whether it's simple enough to do for 4.2 or if we need to schedule it for later.,This is good improvement.,Assigned to Farid; the Windows infrastructure maintainer.,Makes sense to me. What do you think about it; Farid?,> BUILDDIR should default to the source directory; that is; the same directory containing the generate.bat script. ...or the current directory if this directory is different from the directory where the generate.bat script is located.,,,,,,,,,,,,,,,
15560,,,,,,x,,Since no additional information has been provided and we can't duplicate; I'm marking this resolved. Please reopen if you can provide additional information that helps us replicate the problem.,Can anyone provide more information about the original report; or should we close this report for lack of additional information?,I have been looking through the code for the Dispatcher Filter; and the line causing the problem is after the line for accessing the static content. Additionally; I added 'webwork.action.extension=html' to the showcase app; and could not duplicate the error you were seeing. The only difference was that I needed to modify the href/action values from .action to .html (there also seems to be a setter issue at the moment). I suspect this might be a configuration problem. Can you provide more information about your environment? Page source from the page that has the problem? Thanks; Ian,I have been looking through the code for the Dispatcher Filter; and the line causing the problem is after the line for accessing the static content. Additionally; I added 'webwork.action.extension=html' to the showcase app; and could not duplicate the error you were seeing. The only difference was that I needed to modify the href/action values from .action to .html (there also seems to be a setter issue at the moment). I suspect this might be a configuration problem. Can you provide more information about your environment? Page source from the page that has the problem? Thanks; Ian,Yes; as I said in first topic; it works if extension is 'action'. Does webwork team treat it as a bug? or limitation for webwork?,I just realized what the issue is. ANY html in your application is going to be mapped to an action - even if it is a static page. The dojo widgets have a .html that is used as a basic template; and having the html extension is causing the problem. Try this - change the extenstion to anything other than .HTML - my guess is that it will work.,So let me get this straight - the error message goes away under two conditions. First is removing the <ww:head theme='ajax' /> tag; and the other is removing the theme='ajax' from the submit button. Is that correct? What theme do you have the form under? Can you provide the entire JSP page?,oh; it is not about <ww:submt...>. If I remove <ww:head theme='ajax'/>; the exception will disappear. But obviously; it becomes non-ajax call; which redirect to result page.,Once I change my code from: ... <ww:submit value='post' theme='ajax' resultDivId='change'/> .... To <ww:submit value='post'> It works well. So I think it is a bug in webwork ajax part. Further; this exception happens when it just gets into this page ( not throws when submit).,Yes; it is 'html' . I did not touch this option. I tested it in another pc in similar configuration. The exception persist : com.opensymphony.xwork.config.ConfigurationException: There is no Action mapped for namespace /webwork/dojo/webwork/widgets and action name BindButton. Check if there is such an action name with such namespace defined in the xwork.xml and also if such an action class exists. Check also the log to see if the action class is successfully loaded. at com.opensymphony.xwork.DefaultActionProxy.<init>(DefaultActionProxy.java:72) at com.opensymphony.xwork.DefaultActionProxyFactory.createActionProxy(DefaultActionProxyFactory.java:46) at com.opensymphony.webwork.dispatcher.DispatcherUtils.serviceAction(DispatcherUtils.java:193) at com.opensymphony.webwork.dispatcher.FilterDispatcher.doFilter(FilterDispatcher.java:184) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at com.opensymphony.module.sitemesh.filter.PageFilter.parsePage(PageFilter.java:118) at com.opensymphony.module.sitemesh.filter.PageFilter.doFilter(PageFilter.java:52) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at org.tuckey.web.filters.urlrewrite.UrlRewriteFilter.doFilter(UrlRewriteFilter.java:738) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at com.edgenius.paradise.webapp.filter.GZIPFilter.doFilterInternal(GZIPFilter.java:42) at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at org.displaytag.filter.ResponseOverrideFilter.doFilter(ResponseOverrideFilter.java:125) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at org.springframework.web.filter.CharacterEncodingFilter.doFilterInternal(CharacterEncodingFilter.java:75) at org.springframework.web.filter.OncePerRequestFilter.doFilter(OncePerRequestFilter.java:76) ................... [@APPNAME@] ERROR [http-8080-Processor23] DispatcherUtils.serviceAction(210) | Could not find action com.opensymphony.xwork.config.ConfigurationException: There is no Action mapped for namespace /webwork/dojo and action name iframe_history. Check if there is such an action name with such namespace defined in the xwork.xml and also if such an action class exists. Check also the log to see if the action class is successfully loaded. at com.opensymphony.xwork.DefaultActionProxy.<init>(DefaultActionProxy.java:72) at com.opensymphony.xwork.DefaultActionProxyFactory.createActionProxy(DefaultActionProxyFactory.java:46) at com.opensymphony.webwork.dispatcher.DispatcherUtils.serviceAction(DispatcherUtils.java:193) at com.opensymphony.webwork.dispatcher.FilterDispatcher.doFilter(FilterDispatcher.java:184) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at com.opensymphony.module.sitemesh.filter.PageFilter.parsePage(PageFilter.java:118) at com.opensymphony.module.sitemesh.filter.PageFilter.doFilter(PageFilter.java:52) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) .......................,AFAIK Matt uses 'html' as extension for AppFuse; not 'HTML' Can you please recheck with this setting and tell us if exceptions are still thrown? Set this in webwork.properties: webwork.action.extension=html,,,,,,,,,,,
4758,,,,,,,,See comments above; closing,The error text states the problem of this issue. The elements are not valid according to the config's schema file. If you have questions; the schema for xsdconfigs lives in src/configschema/schema,,,,,,,,,,,,,,,,,,,,
78973,,,,,,x,,Point taken. Migration query is following in this case 'Update person set username='rave2011.myopenid.com'; openid='http://rave2011.myopenid.com/&#39; where username='http://rave2011.myopenid.com/&#39;'. We can add such migration steps in release also with some migration.txt or in change log file itself. Ideas?,,,,,,,,,,,,,,,,,,,,,
1101,,,,,,,,Please consider contributing your ruby binding; we'd love to include it in the release along with python; perl; etc...,,,,,,,,,,,,,,,,,,,,,
15330,,,,,,,,As of r438174 ; the shopping-cart is parked in the sandbox (sandbox/struts2/apps/shopping-cart) waiting to see if someone's wants to maintain it; but it hasn't been removed from the repository yet.,,,,,,,,,,,,,,,,,,,,,
79349,,,,,,,,Closing old resolved issues,,,,,,,,,,,,,,,,,,,,,
8640,,,,,,,,I think you want the XMLBEANS project; the xml to object mapping; rather than XBEAN; reusable server components,To reproduce; generate for the attached schema using defaults. Create an instance of ACORD and get the text. Can also see the bad behavior by creating sample XML using SampleXMLUtil.createSampleForType.,,,,,,,,,,,,,,,,,,,,
78329,,,,,,,,Issue fixed.,,,,,,,,,,,,,,,,,,,,,
36052,,,,,,,,Moving these all to a 'Doc 3.x' release version.,r1085213.,,,,,,,,,,,,,,,,,,,,
36048,,,,,,,,Right now ET_CALL; ET_NET and ET_TASK are the same unless task_threads is set > 0 So; ET_DEFAULT_THREAD_TYPE could just be ET_TASK if you want and it would accomplish the same thing.,,,,,,,,,,,,,,,,,,,,,
918,,,,,,x,,You should also consider using Avro for the marshalling/unmarshal of the records. http://avro.apache.org/ Lots of benefits - in particular it's cross-language. Re writing to disk - perhaps just re-use the ZK WAL code and write to a disk that's not storing the transactional log.,Several comments: Aspects: ah; these aspects. I always though of it as a software development process; not as providing a solution for compiling different versions of the code. I actually looked if Java already had something similar like the C preprocessor but didn't find it (I'm afraid I'm still from the pre-Java era). But it seems like a great solution. Binary traces: I thought about that solution but was forgetting it due to idea of not messing with the server code thus using the actual ZK traces. However; together with the need of extending those traces and the idea of using AspectJ; it seems a neat solution. Disk overhead: I was forgetting this problem. Using some kind of ring buffer seems to be a solution but we are actually interested in understanding failures; so keeping the info in memory doesn't seem to be a good idea (the failure may be too radical and we lose the info).,http://www.eclipse.org/aspectj/ http://en.wikipedia.org/wiki/AspectJ I use this for network fault injection testing - instrumenting network operations with random failures. Works extremely well and I don't need to modify the original source at all.,You may consider having a look at ZOOKEEPER-512 for a reference within the context of ZooKeeper.,Re: Aspects; Miguel take a look at AspectJ/Aspect Oriented Programming. Basically allows you to hook code into preexisting code if I understand it correctly. Sort of like auxilary methods in CLOS.,(Assumed JIRA picked up email replies. Seems not >:/) As far as I've seen; this overhead comes in two forms; CPU and disk. CPU overhead is mostly due to formatting. Disk obviously because tracing will fill your disk fairly quickly. Perhaps something could be done to combat both of these. To fix the formatting problem we could use a binary log format. I've seen this done in C++ but not in java. The basic idea is that if you have TRACE('operation %x happened to %s %p'; obj1; obj2; obj3); a preprocessor replaces this with TRACE(0x1234; obj1; obj2; obj3) where 0x1234 is an identifier for the trace. Then when the trace occurs a binary blob [0x1234; value of obj1; value of obj2; value of obj3] is logged. Then when the logs are pulled of the machine you run a post processor to do all the formatting and you get your full trace. Regarding the disk overhead; traces are usually only interesting in the run up to a failure. We could have a ring buffer in memory that is constantly traced to; old traces being overwritten when the ring buffer reaches it's limit. These traces should only be dumped to the filesystem when an error or fatal level event occurs; thereby giving you a trace of what was happening before you fell over. -Ivan,The idea behind using ZK's log4j logs was to modify ZK's server-side code as less as possible. ZK is used in critical applications so a design principle that we are using is to avoid anything that may impact its reliability. In that sense; ZK's WAL is probably not a good option as it is specially critical for the correct operation of ZK. Another option that occurred to me was to create another log4j logger; which would be used specifically for logging the traces we need. Either if we use the original log4j logger or a new one; we can improve the performance using the same mechanisms that are used to make the WAL efficient. In relation to Aspects; I didn't understand what do you mean. Can you give me some pointers? Thanks!,Typically log4j logs are expected to be consumed by users - i.e. debugging; here you're really talking about output that will be machine processed. Is this really logging in the log4j typical sense; perhaps a separate mechanism should be used? Another problem with log4j logging is that changes to the message format; say to make it more 'readable'; can cause problems for the down stream processor. Not to mention that a separate mechanism could be made much more efficient than the general log4j log mechanism. Perhaps ZK's own WAL could be used for this - reuse the WAL code or write the information directly to the ZK transaction log (might not be such a good idea; but should be considered as an option). Additionally you should consider something like Aspects for this project. This is a cross-cutting feature; something that aspects are well suited for. A benefit of this approach is that it would allow those interested in the feature to enable it while those uninterested would incur zero performance penalty.,Let me give a longer explanation of the project. Practical experience with Zookeeper has shown that sometimes there are failures whose causes are hard to understand. Some of these failures may be caused by elusive bugs in the code; others may be due to failures rarer than crashes; say corruptions of data somewhere in a server. Zookeeper's traces (i.e.; logs in TRACE level) provide some information that can be helpful to understand what happened. For instance; they contain information about the clients that are connected; the operations issued; etc. However; in real deployments with many clients (say; hundreds); traces are typically turned off to avoid the high overhead that they cause. Furthermore; the data in the traces is probably not enough for our purposes because it does not include; e.g.; the replies to operations or the data values. The project involves 3 subtasks: 1- improve the efficiency of logging 2- improve the traces with additional information needed 3- build the checking tool,,,,,,,,,,,,,
34486,x,x,,,,,,Odd that you can't get the attached to build as it builds fine for me with the current latest code; never mind because I've tried it for you and yes this has fixed the problems and it now works. Thanks Jim! (Side note; I agree 100% about moving all the non-Java container specific tests out of the java container project),,,,,,,,,,,,,,,,,,,,,
29014,x,,,,,,,applied patch; slight indentation reformating. Thanks Tommaso!,,,,,,,,,,,,,,,,,,,,,
31191,,,,,x,,,Fixed. Sorry folks; the 2 contributions ASM_8001_Java and ASM_12011 did not get committed from my local machine since the projects somehow were not part of my Eclipse workspace when I did the commits of these changes,,,,,,,,,,,,,,,,,,,,,
13977,,,,,,,,Assigning this to future until the dependent XWork enhancement is made.,,,,,,,,,,,,,,,,,,,,,
77769,,,,,,,,Closing resolved but not fixed (i.e.; duplicate; invalid; cannot reproduce; etc.) issues.,,,,,,,,,,,,,,,,,,,,,
20237,,,,,,,,See my comment in WICKET-3093.,,,,,,,,,,,,,,,,,,,,,
33755,,,,,,,,Closing the issue now that it has been resolved.,,,,,,,,,,,,,,,,,,,,,
29161,,,,,,,,Already fixed in UIMA-1379.,I think the source files should be within the org.apache.uima.tika package and not in org.apache.uima.,,,,,,,,,,,,,,,,,,,,
33117,,,,,,,,I've just made some observations on the tuscany-user mailing list which should appear in the mailing list archives shortly; under the thread that contains http://www.mail-archive.com/tuscany-user@ws.apache.org/msg02162.html,,,,,,,,,,,,,,,,,,,,,
50490,,,,,,,,Integrated in tapestry-trunk-freestyle #515 (See [https://builds.apache.org/job/tapestry-trunk-freestyle/515/]) åÊåÊåÊåÊTAP5-1621 - Fixed test joshcanfield : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1167447 Files : * /tapestry/tapestry5/trunk/tapestry-ioc/src/test/java/org/apache/tapestry5/ioc/internal/services/TypeCoercerImplTest.java,,,,,,,,,,,,,,,,,,,,,
45250,,,x,,,,,Resolving as fixed. We can do better positioning of the comments once someone has a concrete use case for that.,You can associate comments with cells; but it isn't all that easy. The 'findCellComment' on HSSFCell shows how to do it; which is: For every TextObjectRecord; find the CommonObjectDataSubRecord of type OBJECT_TYPE_COMMENT that precedes it On that CommonObjectDataSubRecord; get the object ID Find a NoteRecord with a shape ID that matches the object ID just found The NoteRecord holds the row and column details Normally the ordering of records in the file is CommonObjectDataSubRecord; TextObjectRecord; NoteRecord; cells; so you'd need to grab things as they went passed so they're to hand by the time you get to the cells.,Thanks! Patch applied (with minor changes) in revision 788364. Would there be some way to associate the comments with the cell's they apply to? I'd like to see the comment of a cell outputted along with the cell value. I'm leaving this issue until this has been resolved.,Patch adds text extraction from text shapes (comments and other),,,,,,,,,,,,,,,,,,
34779,x,,,,,,,fix works~,Commit ddce361ffa08306423f200eba9c03b3a171d8679 in branch refs/heads/master from Daniel Gruno [ https://git-wip-us.apache.org/repos/asf?p=trafficserver.git;h=ddce361 ] TS-1858: Fix redefinition of timersub on OmniOS with the ESI plugin.,,,,,,,,,,,,,,,,,,,,
27656,,,,,,x,,We'll look at the issue for 1.1,Multiple errors get overwritten much as multiple return values do. Look in ValidatorResult.java; line 117: hResults.put(field.getKey(); result); The problem is; both errors and values should be indexed in ValidatorResult; with this modification; you have to manually construct the key (using ValidatorUtils.replace()); but at least you don't lose info. I confess I'm not using Struts; but I'm using Validator in standalone fashion; so maybe my needs are very particular. MatÌ_as.,Created an attachment (id=4188) Proposed fix,I'm not so sure that this is a bug. In most cases; an indexed property is going to be used in a table-style of input with an iterator. You wouldn't want to display each error on the line; you'd display them at the top. If we went to storing indexed property error messages on the full property with index; you'd need to put an iterator around bean:errors in Struts (for example) to generate all the error messages. Willing to hear counter arguments. James,,,,,,,,,,,,,,,,,,
15698,,,,,,,,I believe this is an issue. I have an action saveAction which I want to chain to editAction whenever there is a validation error. This is often necessary because a JSP will be displayed which has dynamic content such as a selectable list of items. However; if editAction has validation support; it will never be executed (even if it would validate successfully).,As pointed out in my last comment; we should not consider this as an issue. Anyway; thanks for bringing up this discussion and offering your help.,As Alexandru already pointed out in a comment for WW-1093: The desired behaviour can be achieved without those changes if the chain-to action doesn't have the validation interceptor in place. It is not the best idea to set up ties between interceptors; they should really work independently. Also; there might be situations when you want to validation in place for the chain-to action; although there was a validation already (even at low chance; this is thinkable). The suggested patch would keep you from doing this.,Sorry; I forgot doing some cleanup work; e.g.: .... final ActionContext context = invocation.getInvocationContext(); HttpServletRequest request = (HttpServletRequest) context.get(HTTP_REQUEST); Boolean isEscape = (Boolean)request.getAttribute('webwork.validation.escape'); if (isEscape != null && isEscape.booleanValue()) { log.debug('Skipping workflow. Validation escape flag found in request.'); request.setAttribute('webwork.validation.escape'; new Boolean(false));//do cleanup return invocation.invoke(); } .... and also; since ww 2.2 suggests using chain for calling action from an action; so I suggest we can modify ChainingInterceptor and ActionChainResult too in order to implent above escaping feature.,,,,,,,,,,,,,,,,,,
63697,x,x,,,,,,Ah; fantastic - that works very well. Thanks!,I think that is possible with UpdateRequestProcessor. Instead of adding a custom tag to the XML; add them as normal fields (metadata1; 2; ...) which will be added to SolrInputDocument. In the processAdd method you will get access to the value by using SolrInputDocument#getValue(String field). Use them in whatever way you want; remove them from SolrInputDocument and add the final processed text to a new field using SolrInputDocument#addField and finally pass on for indexing by calling super.processAdd(SolrInputDocument).,I don't think the UpdateRequestProcessor will let me do what I want. Let me describe what we're trying to do - maybe I can do it easily without cloning XmlUpdateRequestHandler. We want to add additional data to the XML <doc> tag; a <RichContent> tag which has a couple attributes; and whose contents are textual data. We want to translate this data into different text and then attach it to one of the lucene fields in the SolrInputDocument; which can then be processed normally. What I want; I think; is to be able to override the readDoc() method in XmlUpdateRequestHandler. Does that make sense? I could easily be missing a simple solution; as I'm new to Solr.,this is an improvement; not a bug; so even if someone provides a patch we're not going to try and squeeze it in for 1.3.,We also had to do this to write a requesthandler that maintains original dates on overwrite adds. But then I found this: http://wiki.apache.org/solr/UpdateRequestProcessor - does the updateRequestProcessor solve your problem?,,,,,,,,,,,,,,,,,
61272,x,x,,,,,,Thanks Alexey; Mark. I took the latest patch from Alexey; incorporated Marks suggestion and committed this to trunk.,,,,,,,,,,,,,,,,,,,,,
56598,,,,,,,,Each instance in SQL Server gets its own port number. As long as the port number for the SQLExpress instance is accurate it should work okay.,,,,,,,,,,,,,,,,,,,,,
45050,,,,,,,,Actually I think I already applied similar changes when doing the POI 3.6 upgrade in TIKA-353. Resolving as fixed.,set fix version to unreleased version and affects version to released version,patch,,,,,,,,,,,,,,,,,,,
9989,,,,,,,,Xalan-Java appears to be operating correctly.,version='' does not specify a valid nmtoken; so the error message is valid. If we had something like version='123.456' then we could default to '4.0' because version '123.456' is not supported. But this is not a valid nmtoken as is indicated in section 16 of the XSLT 1.0 recommendation.,Input XML,XSL stylesheet,,,,,,,,,,,,,,,,,,
47855,x,,,,,,,Great! I'm glad you found it helpful.,Thanks for the patch; I extended it a lot; with docs; more tests; the exception logic and the ability to use the annotation on component methods. Fun stuff!,Good start with the patch. I'm looking to expand it to support @CommitAfter on component event methods as well.,Patch fixing the issue,,,,,,,,,,,,,,,,,,
20625,,,,,,,,Integrated in Apache Wicket 1.4.x #200 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/200/]) åÊåÊåÊåÊ,Integrated in Apache Wicket 1.5.x #395 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.5.x/395/]) åÊåÊåÊåÊ,Wicket quickstart project with a JUnit that fails due to the described behaviour.,,,,,,,,,,,,,,,,,,,
80738,,,x,,,,,Rejected for 0.20. Allow me to clarify my position. I was prepared to accept this for 0.20. Right or wrong; it's by all accounts the dominant convention for similar .i files from other projects; and that's good enough for me. However! It depends on QPID-4207; and that's much too big change to dist metadata for our final release candidate. This will have to wait.,,,,,,,,,,,,,,,,,,,,,
46997,x,x,,,,,,Ah; great; things are running now. Thanks guys.,HI Kevin If you have apt; you might try $ apt-get install libbit-vector-perl If you need to do it the hard(er) way; try: $ perl -MCPAN -e 'install Bit::Vector' If you've never used CPAN in this way; it might ask you many questions (take the defaults). It may try first to upgrade itself. It may be painful; may not work at all. There are slightly more manual ways to do it; in which you ask for a shell and can then set options (auto follow dependent packages is very useful). apt-get it aint,Doh; ok. Could you tell me how to install that? I know it has something to do with CPAN; but I'm not a perl person.,Can't locate Bit/Vector.pm this is a required module. stated in lib/perl/README,,,,,,,,,,,,,,,,,,
15084,,,,,,x,,Hellow; I have the same problem after i haved updated my libs. I'm developping a application based on struts 2.0.1 beta. It works just fine before i replace libs by 2.0.5. Original config of my application is from Struts 2 blank; so i've check all config files; and i find that web.xml in 2.0.5 doesn't have these lines : <listener> <listener-class>org.springframework.web.context.ContextLoaderListener</listener-class> </listener> so; i've deleted these lines and my app works.,,,,,,,,,,,,,,,,,,,,,
26594,,,,,,,,Close all resolved issues for Engine 1.5 release.,,,,,,,,,,,,,,,,,,,,,
