id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23837,,,,,,,,Closing since Whirr was updated to jclouds 1.5.0 in WHIRR-659.,Should this issue be closed? Whirr 0.8.0 was released with a dependency on 1.5.0-beta.10. I've created WHIRR-666; asking for an upgrade to jclouds 1.5.1; ideally in Whirr 0.8.1. Or is the intent to keep this sole issue open until there is a whirr stable release that depends on a final jclouds 1.5.x release?,1,tiny patch to bump to jclouds 1.5.0-beta.11 now that it's in Maven Central.,1.5.0-beta.10 in now Committed revision 1374393.,1,updated with spot price fix and tests,updated to fix paul's error,after applying this patch; please execute: svn rm --force ./core/src/main/java/org/apache/whirr/service/jclouds/TemplateBuilderStrategy.java ./core/src/test/java/org/apache/whirr/service/TemplateBuilderStrategyTest.java,replacement for previous patch,I'm recutting this patch. 10m,The following patch adds whirr.template parameter which can override all the other image; hardware; location; or login-user parameters Note; I also implemented it for the undocumented group-based parameters as templates.group.template,For use with the following test repo. Please report back to http://code.google.com/p/jclouds/issues/detail?id=1068 when done! <repository> <id>jclouds-staging</id> <url>https://oss.sonatype.org/content/repositories/orgjclouds-039</url> <releases> <enabled>true</enabled> </releases> <snapshots> <enabled>false</enabled> </snapshots> </repository>,bumped to jclouds 1.5.0-beta.9 Committed revision 1369253.,jclouds 1.5 isn't released; yet; so let's keep this open to track any updates based on betas; release candidates; etc,Marking this as fixed. Thanks guys!,tested with jclouds 1.5.0-beta.8 recently synced to maven central. committed WHIRR-593-mk5.patch as revision 1365445 Thanks; Andrei; Cosmin & Andrew for writing this. Thanks; Tom for checking!,This looks good to me. +1 pending beta-8.,New patch rolling out the noPassword() change and bumping the jclouds dependency to the as-yet-unreleased-but-coming-today 1.5.0-beta.8; which has the needed fix on the jclouds side.,can you try removing the .noPassword() and using jclouds 1.5.0-SNAPSHOT? I think the following commit should sort that: https://github.com/jclouds/jclouds/commit/9d007a40b726bb3de492a947d83b98ddced872a5 If that works; I can cut 1.5.0-beta.8 tomorrow.,Latest patch ( WHIRR-593-mk4.patch) incorporates everything so far. I switched to .noPassword() instead of .password(null); since that seemed more correct. I'm more wary on rackspace next-gen than I was earlier - it seems to still have some issues with launching/tearing down instances in some contexts; but I'm not sure if that's just my account or what. Otherwise; PhaseExecutionBarrierTest passes on cloudservers-us and aws-ec2. Hadoop and ZK tests pass on both as well.,And fyi; I'm able to run against rackspace-cloudservers-us just as well as against anything else; so we've got openstack support. =),Ah; and I'd already tried adding password(null) to ScriptBasedClusterAction. Seems like something is keeping a non-null password value there for cases where there was at some point a password - e.g.; cloudservers/cloudstack.,Hmmmm - I tried adding '.password(null)' to the LoginCredentials calls without it; in ClusterController; and that seems to have fixed the PhaseExecutionBarrierTest issues on cloudservers-us. Double-checking now.,I will try again later today and report back.,Hmm - I'm not actually seeing any test failures in services/hadoop or services/zookeeper against jclouds 1.5. Which specific tests are failing?,fwiw; it looked to me like Whirr was for some reason trying to use password authentication. It's claiming the rsa/sha1 fingerprints in jclouds-ssh.log; but the actual stacktrace refers to authPassword.,We need to find the root cause for those 'exhausted available authentication methods' on cloudservers-* before committing.,So what more do we need to do to get this in? The only problem I've still been seeing is that weird 'exhausted available authentication methods' one. Also; I see that Cosmin's patch (which for some reason I hadn't already applied) deals with FirewallManager's #(region) name; but not FirewallManagerTest - my patch did them both; but I'll just grab Cosmin's patch and add FirewallManagerTest to it.,Found an additional issue with security group naming - 1.5 doesn't append '#region' to EC2 security group names; so FirewallManager needed to be updated. This patch would go on top of the existing one.,fyi; I'm able to run hadoop and zk itests on CloudStack 3.0.3 (with a few tweaks I needed to deal with our CS setup being a bit strange).,Here's my jclouds ssh log for running PhaseExecutionBarrierTest on Rackspace in case someone finds it helpful. I see that it's ssh-ing in as root for the boostrap phase (that works fine); but for the configure phase it's ssh-ing in as my user (and fails). As I said before; it seems odd because I'm able to manually ssh as my user.,Here's a quick summary with some of the stuff I've been trying in the hopes that it might be useful for people: PhaseExecutionBarrierTest passes on AWS but no VM ever shows up in the AWS web console. I tried this in different regions and the result is the same. Here's the test output. Running this on rackspace produces 'Exhausted available authentication methods'. Here's the test output. Was able to tell it to use my ssh key from ~/.ssh as opposed to the random one but still no luck. Looking in the debugger; it seems like it's using the correct key. Also; I was able to ssh to the rackspace machine after the test failed so this kind of indicates that the key it was using was indeed correct even though it's complaining. Not having a catch clause here seems a bit worrying but testing showed that no exception was being thrown anyway.,not sure. I'll run jclouds regression test on cloudservers-us first and see if all ok,On cloudservers-us it fails with 'Exhausted available authentication methods'. Any ideas on what's different from jclouds 1.4.0?,Hadoop itests work fine aws-ec2. Still testing on cloudservers-us.,Reviewing now. I will try the Hadoop itests.,Here's a new version of the patch that fixes the failing ZooKeeper integration tests. This worked for me when testing against AWS. It's changing the naming convention used for some environment variables and removes the region name from the security group name.,I've just tried the itests from core - they fail on cloudservers-us but work file on aws-ec2.,And with 1.5; it's hanging. Hopefully it'll time out and tell me why it's hanging at some point. =),I just verified ZK working on trunk with 1.4; trying now with 1.5...,p.s. I used the following with zookeeper on version 0.7 today. Otherwise; it didn't work (ex. crash/burn) --image-id=us-west-1/ami-33fda576 --location-id=us-west-1,fwiw; I'm getting a failure in the Cassandra itests; but I'm getting that with 1.4 or 1.5.,Builds fine but I get a failure when running the ZooKeeper itests. I am investigating.,Please help test this patch! Note that jclouds 1.5 gives the following new providers and apis; so probably worth your while to help cloudstack (version 3.03) greenqloud-compute (carbon neutral service) joyentcloud (smartos) openstack-nova (essex),1.4.0 is not a stable release compared to 1.5. I'll help make a patch; especially as I have a demo in a couple days at uberconf!!
31936,,,x,,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27475,,,,,,x,,svn ci -m 'Fixing ArrayOutOfBoundsException bug reported in # VALIDATOR-202. This fix is pretty simple - 'Create an array of size # of .s plus one'; but the implementation of that isn't very beautiful. ' Sending src/share/org/apache/commons/validator/UrlValidator.java Sending src/test/org/apache/commons/validator/UrlTest.java Transmitting file data .. Committed revision 453308.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37778,,,x,,,,,The call to launchDialog must supply a component for delivery of the returnListener event. This bug is invalid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,x,,Marshall; I'm wondering if the bug has something to do with the following: when you create a client; the second parameter to the constructor determines the random seed used by the client. That second parameter I think is supposed to be the client's id; but what is passed is clients.size(). I might be wrong here but I don't see where this vector of clients is cleared in between tests; so is it true that at some point the set size is fixed and all the seeds are the same ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75901,,,,,,,,Refactoring out common code into a parent processing class for ack request/close/terminate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24937,,,,,,,,Committed in rev 983396,I forgot to comment on the way chat initiation works. To chat with a contact from the web application; you have to left click with the mouse on the contact in the roster dialog and then a chat tab opens allowing bidirectional chat with the contact. If the contact starts a chat with you; and you don't have a chat tab opened; then the chat tab will automatically open allowing for chatting with the contact.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60192,,,,,,,,[branch_4x commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1427873 SOLR-4254: Harden the 'leader requests replica to recover' code path.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4694,,,x,,,,,As Wing Yew said; the .xsb files are not compiled Java code; so we can't generate sources for them.,Note: While TypeSystemHolder.class is a java class file; the .xsb files are not. They are simply binary files. There is no 'source' for them.,OK; I ask a different way: is it worth it to request those sourcecodes generation. Or is it too complex or not possible?,Actually; no; there is no source code for those.,Would it be possible to get sourcecode for a) TypeSystemHolder b) .xsb 'classes'?,Johannes; The TypeSystemHolder class is still required at run-time. It contains information about the Schema<->Java relationship (name mappings etc) that is not available elsewhere. You need to make sure that you have the .jar containing this class and all the generated .xsb classes on the classpath at runtime (look for these classes in the directory that you specify as 'classgendir' in ant. This issue merely asked that this dependency be only a run-time one (rather than both compiletime and runtime) so that IDEs can show the generated classes without having to re-load their classpath every time the files get re-generated. And this seems to be fixed.,OK; generation and compilation of the generated sourcecode now seems to work. But usage fails: Exception in thread 'main' java.lang.ExceptionInInitializerError åÊåÊåÊåÊåÊåÊåÊåÊat net.eads.space.systemaccess.corba.corbaobject.CORBAObjectDocument$Factory.newInstance(CORBAObjectDocume åÊåÊåÊåÊåÊåÊåÊåÊat net.eads.space.systemaccess.corba.jacorb.XMLObjectInfo.createXML(XMLObjectInfo.java:73) åÊåÊåÊåÊåÊåÊåÊåÊat net.eads.space.systemaccess.app.IORParser.<init>(IORParser.java:39) åÊåÊåÊåÊåÊåÊåÊåÊat net.eads.space.systemaccess.app.IORParser.main(IORParser.java:52) Caused by: java.lang.RuntimeException: Cannot load SchemaTypeSystem. Unable to load class with name schemaorg_apac.corbaobject.TypeSystemHolder. Make sure the generated binary files are on the classpath. åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.xmlbeans.XmlBeans.typeSystemForClassLoader(XmlBeans.java:783) åÊåÊåÊåÊåÊåÊåÊåÊat net.eads.space.systemaccess.corba.corbaobject.CORBAObjectDocument.<clinit>(CORBAObjectDocument.java:19) åÊåÊåÊåÊåÊåÊåÊåÊ... 4 more Caused by: java.lang.ClassNotFoundException: schemaorg_apache_xmlbeans.system.net.eads.space.systemaccess.corba.co åÊåÊåÊåÊåÊåÊåÊåÊat java.net.URLClassLoader$1.run(URLClassLoader.java:200) åÊåÊåÊåÊåÊåÊåÊåÊat java.security.AccessController.doPrivileged(Native Method) åÊåÊåÊåÊåÊåÊåÊåÊat java.net.URLClassLoader.findClass(URLClassLoader.java:188) åÊåÊåÊåÊåÊåÊåÊåÊat java.lang.ClassLoader.loadClass(ClassLoader.java:306) åÊåÊåÊåÊåÊåÊåÊåÊat sun.misc.Launcher$AppClassLoader.loadClass(Launcher.java:268) åÊåÊåÊåÊåÊåÊåÊåÊat java.lang.ClassLoader.loadClass(ClassLoader.java:251) åÊåÊåÊåÊåÊåÊåÊåÊat org.apache.xmlbeans.XmlBeans.typeSystemForClassLoader(XmlBeans.java:769) åÊåÊåÊåÊåÊåÊåÊåÊ... 5 more Sourcecode created with 2.2.0 and ant task åÊåÊåÊåÊåÊåÊåÊåÊ<xmlbean schema='${schema.corbaobject}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsrcgendir='${src.corbaobject.dir}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsource='1.5' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊjavasource='1.5' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊfork='false' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsrconly='true' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊverbose='false' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊtypesystemname='net.eads.space.systemaccess.corba.corbaobject'/>,My fault: I cannot reproduce after holidays. I guess I missed to replace somewhere in our build system the 2.0.0 version. Sorry for that!,Can you please give me more details; like maybe paste the generated file? I have looked at the code one more time and we have changed the line that used to output the static reference to TypeSystemHolder; definitely. I just can't understrand how this can happen... have you checked that you run at least XmlBeans 2.1.0 and you don't have any 'stale' source files in ant?,Reopened at the request of Johannes Stamminger commented on XMLBEANS-120: ---------------------------------------------- I just tried this thing ... and it still does not work for me: I created src files with ant task: åÊåÊåÊåÊåÊåÊåÊåÊ<xmlbean schema='${schema.corbaobject}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsrcgendir='${src.corbaobject.dir}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊfork='false' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsrconly='true' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊtypesystemname='net.eads.space.systemaccess.corba.corbaobject'/> And when compiling the sourcecode in another task this one still complains of TypeSystemHolder not existing: åÊåÊåÊåÊ[javac] Compiling 28 source files to /home/jstammi/Perforce2/systemaccess/main/build/classes/corbaobject åÊåÊåÊåÊ[javac] /home/jstammi/Perforce2/systemaccess/main/src/generated/corbaobject/net/eads/space/systemaccess/corba/corbaobject/Address.java:18: package schemaorg_apache_xmlbeans.system.net.eads.space.systemaccess.corba.corbaobject.TypeSystemHolder does not exist Please re-open this issue (I cannot do so; or do you prefer a new one?),BTW: it is another schema but the attached one. On interest I might add that one; too.,I just tried this thing ... and it still does not work for me: I created src files with ant task: åÊåÊåÊåÊåÊåÊåÊåÊ<xmlbean schema='${schema.corbaobject}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsrcgendir='${src.corbaobject.dir}' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊfork='false' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsrconly='true' åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊtypesystemname='net.eads.space.systemaccess.corba.corbaobject'/> And when compiling the sourcecode in another task this one still complains of TypeSystemHolder not existing: åÊåÊåÊåÊ[javac] Compiling 28 source files to /home/jstammi/Perforce2/systemaccess/main/build/classes/corbaobject åÊåÊåÊåÊ[javac] /home/jstammi/Perforce2/systemaccess/main/src/generated/corbaobject/net/eads/space/systemaccess/corba/corbaobject/Address.java:18: package schemaorg_apache_xmlbeans.system.net.eads.space.systemaccess.corba.corbaobject.TypeSystemHolder does not exist Please re-open this issue (I cannot do so; or do you prefer a new one?),Fixed with checkin 220181. Now refer to TypeSystemHolder via a reflection API instead of directly.,If anyone's intersted; I managed to make Eclipse happy without the TypeSystemHolder source by adding the output directory (where the TypeSystemHolder.class files get generated) to the project 'Libraries' in the Java Build Path for the project. I also made my maven build work by manually copying the TypeSystemHolder.class files up to the target directory in a java:compile pregoal: <preGoal name='java:compile'> <attainGoal name='generate-xmlbeans'/> <ant:copy todir='${maven.build.dest}'> <ant:fileset dir='${xmlbeans.output.dir}'> <include name='**/*.class'/> </ant:fileset> </ant:copy> </preGoal>,I just retested with 2.0 final version: definitely the sourcecode being generated is not compilable as it misses the TypeSystemHolder.java _SOURCECODE_. åÊ åÊNot with 2.0-beta1; nor with 2.0 final. åÊNot with '-scronly=true' nor without!! åÊ åÊThis is definitely no IDE problem (btw: I'm using IntelliJ; not Eclipse). åÊ åÊNote: the xmlbeans-generated .jar contains a TypeSystemHolder.class file. åÊ åÊThe annoying thing is: when creating the .jar with xmlbeans itself (only way working so far) I do not have full control about javac options used. åÊ åÊAnd IMHO this is no minor bug when creating not compilable sourcecode; please re-consider this.,I've just tried upgrading to 2.0; and I'm getting the same problem. I'm compiling with -srconly; and I get a TypeSystemHolder.class generated; but no TypeSystemHolder.java! This is not just an Eclipse issue - the TypeSystemHolder.java files seems to be simply not generated.,With the actual 2.0 release I get the same effect even without -srconly! No TypeSystemHolder.java is generated; which causes IDEs like Eclipse to complain. You can reproduce it simply by compiling one of the sample schemas: åÊcd xmlbeans-2.0.0/schemas åÊåÊ../bin/scomp -src src -d out easypo.xsd åÊåÊfind src -name '*TypeSystemHolder*.java' ... and nothing is found!,Johannes; I have no problems building that Schema file. I have become convinced that this is an Eclipse-only issue because it can't pick up dependencies from a different directory than the source. I am going to fix this by removing that compile-time dependency; but in order to do this I need some APIs that don't currently exist; so I was going to wait on it a bit.,XTCE 1.0 OMG specification (http://www.omg.org/cgi-bin/apps/do_doc?dtc/03-09-02.pdf) 2.0.1-beta1 does not create valid sourcecode for,Without -srconly there is created a .jar but the sourcecode written to disk is cannot be the one having been compiled as the generated interfaces contain references to not existing classes like ...schema.system.s88336473178149A1091FEBD8E40E9E6C.TypeSystemHolder that do not exist - and therefore are not compilable (though the corresponding .class file is found within the generated .jar). I'll attach the schema (XTCE OMG spec.) I observe the problems with (1.0.4 generates working sourcecode).,,,,,,,,,,,,,,,,,,,,,,,,,,
76425,,,,,,,,This was done long ago and is now in trunk and ready for release,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12188,,,,,,,,This patch disables variable scope checking in extension elements; which is the best we can do right now. Committers; can you please review?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,x,,,,,,,Thanks for the patch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15330,,,,,,,,As of r438174 ; the shopping-cart is parked in the sandbox (sandbox/struts2/apps/shopping-cart) waiting to see if someone's wants to maintain it; but it hasn't been removed from the repository yet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29936,x,,,,,,,To test this; I used an aggregate AE with a CAS multiplier that declared getCasInstancesRequired()=5. If this AE is instantiated and run in a loop with earlier code it eats up roughly 10MB per iteration. No such leak with the latest code. Thanks!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75638,,,,,,,,Created an attachment (id=13928) Second version New version; major changes: åÊ* easier to use API(see tests for examples); in enveloping signatures no other parameters need to be given. åÊ* verification of enveloped signature. Stills: åÊThe api is still not stable; only verification not creation API. More ways of telling what to verificate and how.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33117,,,,,,,,I've just made some observations on the tuscany-user mailing list which should appear in the mailing list archives shortly; under the thread that contains http://www.mail-archive.com/tuscany-user@ws.apache.org/msg02162.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49357,,,,,,,,patches applied,Modified text raw='yes' to raw='true',I've got a master bug entry set up for such errors: TAPESTRY-387 So; if you run across anything else; it's probably best to attach it there than to open up a JIRA issue for every such error.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16908,x,,,,,,,Thanks. The problem is with deferred node expansion; when this is on the Node appears as null instead of a Text node with an empty String. I'll merge a fix shortly.,yes a wsse:Password element is sent across the wire and the UsernameToken look like this exactly: <wsse:UsernameToken wsu:Id='UsernameToken-1' xmlns:wsse='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd' xmlns:wsu='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd'> åÊåÊåÊåÊåÊ<wsse:Username>ser</wsse:Username> åÊåÊåÊåÊåÊ<wsse:Password Type='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-username-token-profile-1.0#PasswordText'></wsse:Password> </wsse:UsernameToken> Seb.,Can you clarify whether a wsse:Password element is sent across the wire or not? So; does the UsernameToken look like this: <wsse:UsernameToken xmlns:wsu='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd' wsu:Id='UsernameToken-15' xmlns:wsse='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd'> åÊåÊåÊåÊ<wsse:Username>emptyuser</wsse:Username> åÊåÊåÊåÊ<wsse:Password Type='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-username-token-profile-1.0#PasswordText'/> </wsse:UsernameToken> or this: <wsse:UsernameToken xmlns:wsu='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd' wsu:Id='UsernameToken-15' xmlns:wsse='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd'> åÊåÊåÊåÊ<wsse:Username>emptyuser</wsse:Username> </wsse:UsernameToken> Colm.,I am reopening this issue. From my place i cannot commit code. @ Ruchith The problem is at server who recieves the empty password. the callback method gets null password in this case.,i think there is really a bug. I have exactly the same problem. When i send with my client a empty password; i receive on the server a null password and not an empty password. i think the problem is in org.apache.ws.security.message.token.UserNameToken : public String getPassword() { åÊåÊåÊåÊåÊåÊåÊåÊreturn nodeString(elementPassword); åÊåÊåÊåÊ} private String nodeString(Element e) { åÊåÊåÊåÊåÊåÊåÊåÊif (e != null) { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊText node = getFirstNode(e); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊif (node != null) { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊreturn node.getData(); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊåÊåÊåÊåÊåÊreturn null; åÊåÊåÊåÊ} the 'getFirstNode' return null so getpassword return null when an empty password is sended.,I'm going to mark this as won't-fix. I've added tests to WSS4J that verify that it's possible to send a blank password: <wsse:UsernameToken xmlns:wsu='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-utility-1.0.xsd' wsu:Id='UsernameToken-15' xmlns:wsse='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-wssecurity-secext-1.0.xsd'> åÊåÊåÊåÊ<wsse:Username>emptyuser</wsse:Username> åÊåÊåÊåÊ<wsse:Password Type='http://docs.oasis-open.org/wss/2004/01/oasis-200401-wss-username-token-profile-1.0#PasswordText'/> </wsse:UsernameToken>,Can you supply a test-case? Colm.,We make a property map. and put WShandlerConstants.USER=testuser and then implement CallBackHandler as CallBackHandlerImpl where we set WSPasswordCallback.setPassword('') in handle method This CallBackHandlerImpl obj is again put into property map against WShandlerConstants.PW_CALLBACK_REF ACTION = USERNAME_TOKEN PASSWD_TYPE = PW_TEXT A WSS4jOutInterceptor from this property map and added in client out mode. wss4j reads the ('') value of password as null.,How are you setting the username and password? Colm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7461,x,,,,,,,I verified the fix using the xml-xerces_20040107172932.tar.gz CVS snapshot. Thanks!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11526,,,,,,,,Original reporter is not available. This report has now 'timed out'.,Can you try this again on any 2.2.D-- developer build? The SQL extensions have been greatly improved in the past few builds; credit to johnglinux. Also; downgrade Sev: although this is a major failing as reported; it's still in one of our (at that point) semi-supported extensions; and not in the main Xalan code.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20061,,,,,,,,Fixed with r1097472.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5373,,,,,,,,I mailed jsr-206-comments@jcp.org and got the following response from Jeff Suttor: 'hi Daniel; consistency and least astonishment are valuable. :) would you be open to filing an RFE http://bugs.sun.com or an issue http://jaxp.dev.java.net to insure this is addressed? as this would be a public API change; it will have to be part of JAXP.next. thanks; -- Jeff' I filed https://jaxp.dev.java.net/issues/show_bug.cgi?id=9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26184,,,,,,,,patch applied.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60365,,,,,,,,Fix committed as part of SOLR-4134.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,,,,,,x,,Out of curiosity; could we save a FOLLOWING notification as our lastMessage then; even if we don't send it? That would give you the 'current' state more accurately than a stale LOOKING notification and it seems like it could solve this particular problem. We could; but that wouldn't give an accurate state as well. A peer might be in the LOOKING state (next FLE round) while the lastMessage gets sent. There will be race conditions. In my opinion; a better way of doing this is to send the current state instead of lastMessage. In which case; I agree with Flavio that sending the final notifications won't be necessary. This will also reduce the number of notifications exchanged.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74046,x,x,,,,,,Looks good; the other services had the type hinting too; so this was indeed an erroneous situation. Applied & Committed; thanks!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74032,,x,,,,,,Awesome. I actually did find two more non-code files - the readme docs in java/social-api/ and have added them as deletes to my client. Good to know it checks out with you though. Unless anybody objects I'll submit this relatively soon.,Looks good to me; all the references to abdera I could find appear to be included in the patch. My check was based a visual scan of the patch and a scan of the filesystem for references comparing with all the file that are touched by the patch. For reference; the patch modifies these files java/server/src/main/webapp/WEB-INF/web.full.xml java/server/src/main/webapp/WEB-INF/web.social.xml java/server/src/main/webapp/WEB-INF/web.xml java/social-api/src/main/java/org/apache/shindig/social/SocialApiGuiceModule.java java/social-api/src/test/java/org/apache/shindig/social/SocialApiTestsGuiceModule.java And deletes these files java/social-api/src/main/java/org/apache/shindig/social/RestServerServlet.java java/social-api/src/main/java/org/apache/shindig/social/abdera/RawResponseContext.java java/social-api/src/main/java/org/apache/shindig/social/abdera/RequestUrlTemplate.java java/social-api/src/main/java/org/apache/shindig/social/abdera/SocialApiProvider.java java/social-api/src/main/java/org/apache/shindig/social/abdera/SocialRequestContext.java java/social-api/src/main/java/org/apache/shindig/social/abdera/SocialRouteManager.java java/social-api/src/main/java/org/apache/shindig/social/abdera/atom/AbstractSocialEntityCollectionAdapter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/atom/ActivityAdapter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/atom/DataAdapter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/atom/PersonAdapter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/json/JSONFilter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/json/PersonJsonAdapter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/json/SimpleJsonAdapter.java java/social-api/src/main/java/org/apache/shindig/social/abdera/util/ValidRequestFilter.java java/social-api/src/main/java/org/apache/shindig/social/samplecontainer/SampleContainerRouteManager.java java/social-api/src/test/java/org/apache/shindig/social/JettyServer.java java/social-api/src/test/java/org/apache/shindig/social/abdera/AbstractLargeRestfulTests.java java/social-api/src/test/java/org/apache/shindig/social/abdera/RouteManagerTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/SocialApiProviderTestFixture.java java/social-api/src/test/java/org/apache/shindig/social/abdera/SocialRequestContextTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/ValidRequestTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/atom/RestfulAtomActivityTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/atom/RestfulAtomDataTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/atom/RestfulAtomPeopleTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/json/PersonJsonAdapterTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/json/RestfulJsonActivityTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/json/RestfulJsonDataTest.java java/social-api/src/test/java/org/apache/shindig/social/abdera/json/RestfulJsonPeopleTest.java java/social-api/src/test/java/org/apache/shindig/social/samplecontainer/SampleContainerRoutesTest.java,I can commit this from my client so we don't have to worry about the diff not quite picking up deletes correctly. Just want to sanity check the cleanup with everyone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
