id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,,,,,
78973,,,x,,,,,Point taken. Migration query is following in this case 'Update person set username='rave2011.myopenid.com'; openid='http://rave2011.myopenid.com/&#39; where username='http://rave2011.myopenid.com/&#39;'. We can add such migration steps in release also with some migration.txt or in change log file itself. Ideas?,,,,,,,,,,,,,,,,,,,,,,,,
31347,,,,x,,,,This has been in RESOLVED state for over one year so now closing; if it turns out to not be fixed please re-open.,,,,,,,,,,,,,,,,,,,,,,,,
16633,,x,,,,,,This was fixed by having all the items in the action chain having their properties copied over to the new action.,thinking about this more; the value stack would need to know about the chain so that if the chain we to end on a rollback and display edit.jsp; we'd still want to be able to pull stuff originally inputed.,,,,,,,,,,,,,,,,,,,,,,,
2685,,,,,,,,Integrated in Hadoop-Mapreduce-trunk #1386 (See https://builds.apache.org/job/Hadoop-Mapreduce-trunk/1386/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,Integrated in Hadoop-Hdfs-trunk #1358 (See https://builds.apache.org/job/Hadoop-Hdfs-trunk/1358/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = FAILURE vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,Integrated in Hadoop-Yarn-trunk #169 (See https://builds.apache.org/job/Hadoop-Yarn-trunk/169/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = FAILURE vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,Integrated in Hadoop-trunk-Commit #3537 (See https://builds.apache.org/job/Hadoop-trunk-Commit/3537/) YARN-209. Fix CapacityScheduler to trigger application-activation when the cluster capacity changes. Contributed by Zhijie Shen. (Revision 1461773) Result = SUCCESS vinodkv : http://svn.apache.org/viewcvs.cgi/?root=Apache-SVN&view=rev&rev=1461773 Files : /hadoop/common/trunk/hadoop-yarn-project/CHANGES.txt /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/main/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/LeafQueue.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestRM.java /hadoop/common/trunk/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/scheduler/capacity/TestLeafQueue.java,I just committed this to trunk and branch-2. Thanks Zhijie!,So; on a single-node cluster the patch works correctly. Cool; I am checking this in.,@Vinod; I tested the patch with the following logic: 1. Launch RM 2. Submit App 3. Check it is pending (Yes) 4. Launch NM 5. Check it is active (Yes) So; on a single-node cluster the patch works correctly.,The new version of the test makes more sense. Looks good.,So; in other words; if an application gets submitted to the RM before any NM registered; the application will be stuck in pending state. Right? Or you can just test this manually. Either of the above is fine by me.,Patch looks good; can you test this manually too? Something like this: Starting one NM with very little resources first and another with sufficient resources later and an app which can only run on the second NM.,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12575660/YARN-209.4.patch against trunk revision . +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 2 new or modified test files. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 javadoc. The javadoc tool did not generate any warning messages. +1 eclipse:eclipse. The patch built with eclipse:eclipse. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed unit tests in hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-YARN-Build/615//testReport/ Console output: https://builds.apache.org/job/PreCommit-YARN-Build/615//console This message is automatically generated.,The log statement is removed and testActivatingPendingApplication is moved to TestRM and enhanced by checking the status before NM is added. @Bikas; I agree TestLeafQueue only is enough to verify the bug; but I think the test case that you provided before is valuable. Therefore; I included and updated it as a showing case of activating pending applications by adding more nodemanagers.,Patch looks good overall. I dont quite see what testActivatingPendingApplication() is buying us in its current form. If the leaf queue test fails before the fix and passes after it; then it should be enough IMO.,Reviewed the patch; looks fine; few minor comments I have: LeafQueue: The log statement isn't useful beyond debugging this issue; can be removed. testActivatingPendingApplication doesn't seem to belong to TestRMRestart; should move it to somewhere else. TestRM perhaps?,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12575556/YARN-209.3.patch against trunk revision . +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 2 new or modified test files. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 javadoc. The javadoc tool did not generate any warning messages. -1 eclipse:eclipse. The patch failed to build with eclipse:eclipse. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed unit tests in hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-YARN-Build/605//testReport/ Console output: https://builds.apache.org/job/PreCommit-YARN-Build/605//console This message is automatically generated.,Extract the fixing code specifically for this issue from YARN-474; to make this issue unblocked. @Bikas' end-to-end test case is retained but simplified; because it is good example to demonstrate the problem described here.,@Hitesh; this is because in this ticket; there's no fix code. The failure is expected here. When YARN-474 is fixed; the failure should be gone.,@Zhijie; is the test failure related to your patch?,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12574896/YARN-209.2.patch against trunk revision . +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 1 new or modified test files. +1 tests included appear to have a timeout. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 javadoc. The javadoc tool did not generate any warning messages. -1 eclipse:eclipse. The patch failed to build with eclipse:eclipse. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. -1 core tests. The patch failed these unit tests in hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager: org.apache.hadoop.yarn.server.resourcemanager.TestRMRestart +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-YARN-Build/564//testReport/ Console output: https://builds.apache.org/job/PreCommit-YARN-Build/564//console This message is automatically generated.,Given YARN-474 is fixed; the patch can be used to test the scenario that the applications are submitted before NM are registered.,Whenever more hardware is added to the cluster; LeafQueue#updateClusterResource will be triggered. The problem can be fixed by the patch for YARN-474 as well.,Right. Thats what the test in the attached patch does. But its a functional test.,Haven't looked at the code yet; trying to understand the scenario. So; in other words; if an application gets submitted to the RM before any NM registered; the application will be stuck in pending state. Right? If so; we can write a test like that.,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12552973/YARN-209.1.patch against trunk revision . +1 @author. The patch does not contain any @author tags. -1 tests included. The patch doesn't appear to include any new or modified tests. Please justify why no new tests are needed for this patch. Also please list what manual steps were performed to verify this patch. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 javadoc. The javadoc tool did not generate any warning messages. +1 eclipse:eclipse. The patch built with eclipse:eclipse. +1 findbugs. The patch does not introduce any new Findbugs (version 1.3.9) warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed unit tests in hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager. +1 contrib tests. The patch passed contrib unit tests. Test results: https://builds.apache.org/job/PreCommit-YARN-Build/176//testReport/ Console output: https://builds.apache.org/job/PreCommit-YARN-Build/176//console This message is automatically generated.,Attaching a fix for the issue. Also attaching a test that times out without this fix and passes with it. There might be a simpler way to test this.
58727,,,,,,,,Example RequestDocumentor output for the StatelessEngineTest,,,,,,,,,,,,,,,,,,,,,,,,
11881,,,x,x,,,,AFAIK; there is no plan to replace crimson with xerces in near future ( maybe for xerces2; but that's still far away). There are many reasons for that ( requirements related with code size and speed ). In any case; the dist from apache uses xerces as default.,,,,,,,,,,,,,,,,,,,,,,,,
44105,,x,,,,,,Closed due to the release of Tiles 2.1.0.,All the subtasks have been resolved.,,,,,,,,,,,,,,,,,,,,,,,
29936,x,x,,,,,,To test this; I used an aggregate AE with a CAS multiplier that declared getCasInstancesRequired()=5. If this AE is instantiated and run in a loop with earlier code it eats up roughly 10MB per iteration. No such leak with the latest code. Thanks!,,,,,,,,,,,,,,,,,,,,,,,,
4163,,,x,x,,,,No reply; closing.,,,,,,,,,,,,,,,,,,,,,,,,
77185,,x,,,,,,Closing all resolved/fixed issues of already released versions of Roller.,,,,,,,,,,,,,,,,,,,,,,,,
74491,,,,,,,,Chain 1.2 is now available in the m2 repo. Updated patches to include logging 1.1.1 and scxml 0.8,,,,,,,,,,,,,,,,,,,,,,,,
69146,,x,,,,,,The fix currently transform the input source to a DOMSource. We could also handle differently a SAXSource.,,,,,,,,,,,,,,,,,,,,,,,,
53257,x,x,,,,,,Thanks for the patch; Michael. Applied with a few modifications.,,,,,,,,,,,,,,,,,,,,,,,,
43983,,x,,,,,,Closed due to the release of Tiles 2.1.1,Added documentation for FreeMarker.,,,,,,,,,,,,,,,,,,,,,,,
80738,,,x,x,,,,Rejected for 0.20. Allow me to clarify my position. I was prepared to accept this for 0.20. Right or wrong; it's by all accounts the dominant convention for similar .i files from other projects; and that's good enough for me. However! It depends on QPID-4207; and that's much too big change to dist metadata for our final release candidate. This will have to wait.,,,,,,,,,,,,,,,,,,,,,,,,
52309,,x,,,,,,Integrated in Syncope-ROLE_PROVISIONING #4 (See [https://builds.apache.org/job/Syncope-ROLE_PROVISIONING/4/]) åÊåÊåÊåÊ[SYNCOPE-173][SYNCOPE-219] (Additional) Moving some classes to new packages as preparation for role-related workflow classes (Revision 1408258) [SYNCOPE-173][SYNCOPE-219] Moving some classes to new packages as preparation for role-related workflow classes (Revision 1408249) åÊåÊåÊåÊåÊResult = SUCCESS ilgrosso : Files : * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/ContentLoader.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/SpringContextInitializer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/policy/AccountPolicyEnforcer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/UserController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/WorkflowController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/sync/SyncopeSyncResultHanlder.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflow.properties * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflowContext.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/noopworkflow/workflow.properties * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/noopworkflow/workflowContext.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/workflow.properties ilgrosso : Files : * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/ActivitiWorkflowLoader.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/init/SpringContextInitializer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/policy/AccountPolicyEnforcer.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/UserController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/rest/controller/WorkflowController.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/sync/SyncopeSyncResultHanlder.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/AbstractUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/ActivitiUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/NoOpUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/UserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/activiti * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/role * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/AbstractUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/NoOpUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/UserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/ActivitiUserWorkflowAdapter.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/ActivitiWorkflowLoader.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeEntitiesVariableType.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeGroupManager.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeGroupQueryImpl.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeSession.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeSessionFactory.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeUserManager.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/SyncopeUserQueryImpl.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/AbstractActivitiDelegate.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/AutoActivate.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Create.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Delete.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/GenerateToken.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Reactivate.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Suspend.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/java/org/apache/syncope/core/workflow/user/activiti/task/Update.java * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/userWorkflow.bpmn20.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflow.properties * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/main/resources/workflowContext.xml * /incubator/syncope/branches/DEV_ROLE_PROVISIONING/core/src/test/resources/workflow.properties,,,,,,,,,,,,,,,,,,,,,,,,
31813,,,x,x,,,,Closing because this has been in RESOLVED state for over one year; if it turns out to not be fixed please reopen.,,,,,,,,,,,,,,,,,,,,,,,,
28313,x,x,x,,,,,Thanks for that comment Richard! I was laboring under the (false) impression that I could not change the docs that went with our previous releases; but I see these are coming from a copy on our svn site; and we could actually change that one. Anybody object to my doing that? I could correct the link; and also indicate this release is 2 levels out of date.,,,,,,,,,,,,,,,,,,,,,,,,
51694,,,,,x,,,Yes; it's my mistake; I'm overlooked this property.,Isn't it enough to disable auto focus on the form ?,,,,,,,,,,,,,,,,,,,,,,,
18885,x,,,,,,,Thanks Sven!,Thanks Sebastien!,,,,,,,,,,,,,,,,,,,,,,,
19946,x,,,,,x,,Is there any documentation such as 'getting started with swarm' available? If there is; could you share links? Thanks.,,,,,,,,,,,,,,,,,,,,,,,,
16927,,x,,,,,,I'll update the javadoc accordingly.,,,,,,,,,,,,,,,,,,,,,,,,
33755,,x,,,,,,Closing the issue now that it has been resolved.,,,,,,,,,,,,,,,,,,,,,,,,
20296,,,,,,,,Integrated in Apache Wicket 1.4.x #436 (See [https://hudson.apache.org/hudson/job/Apache%20Wicket%201.4.x/436/]) åÊåÊåÊåÊWICKET-3413 FLAG_INHERITABLE_MODEL and default model change reset 'inherited model' flag if model changed and a new one is not IComponentInheritedModel,Improved with r1070211 (1.4.x) and r1070210 (trunk).,,,,,,,,,,,,,,,,,,,,,,,
64082,,,x,,,,,This bug was modified as part of a bulk update using the criteria... Marked 'Resolved' and 'Fixed' Had no 'Fix Version' versions Was listed in the CHANGES.txt for 1.3 as of today 2008-03-15 The Fix Version for all 29 issues found was set to 1.3; email notification was suppressed to prevent excessive email. For a list of all the issues modified; search jira comments for this (hopefully) unique string: batch20070315hossman1,,,,,,,,,,,,,,,,,,,,,,,,
68066,,,,,x,,,Fixed. Sorry for long waiting. I didn't find the time. Author: tterm Date: Mon Jul 21 01:53:35 2008 New Revision: 678365 URL: http://svn.apache.org/viewvc?rev=678365&view=rev Log: Preserving or configuring content-type of http-header Modified: servicemix/smx3/branches/servicemix-3.2/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/HttpEndpoint.java servicemix/smx3/branches/servicemix-3.2/deployables/bindingcomponents/servicemix-http/src/main/java/org/apache/servicemix/http/processors/ProviderProcessor.java,Can you give me an indication; when this issue will be solved?,So you don't expect more information from me? Regards; Jan Reynaerts,Guillaume: I know what he wants to do. It's not much to do. I will do it this during the week.,Could you please provide a patch / diff file instead ? See http://servicemix.apache.org/contributing.html for more informations.,I've attached the 2 patched files. I'm not sure if this is the right way to do it,Can't find the patch.,,,,,,,,,,,,,,,,,,
4887,x,x,,,,,,Patch Applied. Good Work Adrian!,Attachment diff.txt has been added with description: patch file,,,,,,,,,,,,,,,,,,,,,,,
8202,,x,,,,,,*** Bug 8704 has been marked as a duplicate of this bug. ***,,,,,,,,,,,,,,,,,,,,,,,,
50889,,x,,,,,,Seems like this has all been done.,"'""apache' added font bug fixed""",The logo source for the one with the gray background uses a different font then the one with the black background; is this intentional? Also they both don't contain the letters 'apache' whereas the compiled one does.,I think special pages need a custom layout (about; getting started; home page; documentation; download etc.). According to priorities; I will produce needed layouts.,Tapestry Logo as Illustrator SVG : fixed with final dot after 'Code less; do more',NB: tapestry logo on homepage contains the word 'apache'.,Website redesign related files Contains: - CSS : a reset and custom style for tapestry.apache.org - layouts as static html: åÊåÊåÊ- - homepage åÊåÊåÊ- - documentation åÊåÊåÊ- - getting started - SVG for making headline/title images. Using fonts with big size would cause aliasing issues. I think it's better to use image for headlines.,Logo as Illustrator SVG.,,,,,,,,,,,,,,,,,
53882,x,x,,,,,,Fixed in both the current trunk and 1.2.x branch; thanks for reporting this: http://svn.apache.org/viewcvs.cgi?rev=383718&view=rev http://svn.apache.org/viewcvs.cgi?rev=383720&view=rev As well as LookupDispatchAction I also modified DispatchAction and ActionDispatcher which could expose the same issue when the NoSuchMethodException is thrown for an invalid method input through a parameter. Closing as FIXED.,,,,,,,,,,,,,,,,,,,,,,,,
29394,,,,,,x,,Closing this issue - if more needs to be done; maybe it would be better to open an new issue - this one has gotten rather large,,,,,,,,,,,,,,,,,,,,,,,,
36205,,x,,,,,,as for V2.1.4 and later; we do not seen any reproduce; so mark this issue as fixed,,,,,,,,,,,,,,,,,,,,,,,,
37860,,,x,x,,,,Attention: - Please refer https://issues.apache.org/jira/browse/TRINIDAD-1145 for a possible fix,,,,,,,,,,,,,,,,,,,,,,,,
52102,,,x,x,,,,Due to limitations in JIRA; the resolution on some issues had to be changed; as part of removing the fix release from the issue. Only issues that are actually fixed should have a fix release.,,,,,,,,,,,,,,,,,,,,,,,,
61660,,x,,,,,,Variables specified in data config are also resolved with system properties so there is no reason anymore to configure DIH via solrconfig. Hence; the bug can be worked around by using dataconfig instead of configuring via solrconfig.,,,,,,,,,,,,,,,,,,,,,,,,
50449,,,x,,,,,Does not occurs on Firefox or Curl. Probably a Chrome problem.,Affects also 5.1.0.5.,,,,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),,,,,,,,,,,,,,,,,,,,,,,,
60192,,,x,,,,,[branch_4x commit] Mark Robert Miller http://svn.apache.org/viewvc?view=revision&revision=1427873 SOLR-4254: Harden the 'leader requests replica to recover' code path.,,,,,,,,,,,,,,,,,,,,,,,,
25612,,,,,x,,,Sorry for the link 'block'; can't undo it... I wanted to add a 'clone' link.,,,,,,,,,,,,,,,,,,,,,,,,
51981,x,x,,,,,,Thanks for the sample app; I updated it for 5.0.15 and verified the problem; then tried the fix. Had to modify the mixins to return false from beforeRenderBody(); but then everything worked as expected (the Any component omitted its body).,,,,,,,,,,,,,,,,,,,,,,,,
3908,,,x,x,,,,I fixed this in the ActionTag a while ago...,,,,,,,,,,,,,,,,,,,,,,,,
20905,,,,x,,,,1.3.x is no longer maintained outside of security-related issues; please upgrade to 1.4.x,this is class we using for attaching dynamic js resources,,,,,,,,,,,,,,,,,,,,,,,
5713,,x,,,,,,Venu committed your patch for Xerces 2.6.0. Please verify.,,,,,,,,,,,,,,,,,,,,,,,,
7636,,,,x,,,,As far as I see tthis seems to be fixed in at least Version 2.6.0. Therefore this issue can be closed!,,,,,,,,,,,,,,,,,,,,,,,,
15084,,,x,,,,,Hellow; I have the same problem after i haved updated my libs. I'm developping a application based on struts 2.0.1 beta. It works just fine before i replace libs by 2.0.5. Original config of my application is from Struts 2 blank; so i've check all config files; and i find that web.xml in 2.0.5 doesn't have these lines : <listener> <listener-class>org.springframework.web.context.ContextLoaderListener</listener-class> </listener> so; i've deleted these lines and my app works.,,,,,,,,,,,,,,,,,,,,,,,,
