id,love,joy,surprise,anger,sadness,fear,notes,comment N,comment N-1,comment N-2,...,comment 2,comment1,,,,,,,,,,,,,,,
48875,x,,,,,,,This works great for me; but it has demonstrated another issue when some Tapestry's script files try to use the clientId in order to create javascript identifiers for variables. I'll open a new issue describing this.,I'm assuming that this has been fixed already but not closed?,You do have commit access; so if making _cycle non private solves the problem then I'd just change it. p.s. If MultiFormSupport does work out it seems more logical to just make that the default behavior in FormSupportImpl doesn't it?,BTW; the 'new' MultipleFormSupport is an ugly copy-paste of 'FormSupportImpl' mostly due to the fact that _cycle is private in FormSupportImpl Making it protected saves more that 750 lines... the other solution is for the subclass to also keep a copy of that field; when it's passed in the contructor - still ugly!,A recent step forwards (i hope) has been the org.apache.tapestry.form.FormSupportFactory interface that is now responsible for generating FormSupport implementations. This has allowed me to try alternative implementations; one being MultipleFormSupport which works by prefixing all form elements with the form's clientId (on render and then again on rewind) Here's how this would then be configured - overriden åÊåÊåÊåÊ<implementation service-id='tapestry.form.FormSupportFactory'> åÊåÊåÊåÊåÊåÊ<create-instance class='org.apache.tapestry.form.MultipleFormSupportFactory'/> åÊåÊåÊåÊ</implementation> I'm missing a few unit tests before committing :),Yep; this indeed happens... In tacos this was fixed by introducing a parameter in AjaxForm that would make name and id generation depend on component's idPath (instead of id) Here's the changeset: http://fisheye3.cenqua.com/changelog/tacos?cs=348 I'm thinking of a less intrusive solution for Tapestry... Perhaps in formSupport.getElementId...,,,,,,,,,,,,,,,
36622,,,,,,,,Proposed patch.,Moving this out to later; not sure its possible to change this without breaking backwards compatibility. Please move back to 2.1.2 if you disagree.,In addition to INKfread() mentioned above; these are also candidates for getting their prototypes fixed: inkapi void *_INKmalloc(unsigned int size; const char *path); inkapi void *_INKrealloc(void *ptr; unsigned int size; const char *path); inkapi char *_INKstrdup(const char *str; int length; const char *path); inkapi void _INKfree(void *ptr); inkapi int INKfwrite(INKFile filep; const void *buf; int length); inkapi char *INKfgets(INKFile filep; char *buf; int length); inkapi INKVIO INKVConnRead(INKVConn connp; INKCont contp; INKIOBuffer bufp; int nbytes); inkapi INKVIO INKVConnWrite(INKVConn connp; INKCont contp; INKIOBufferReader readerp; int nbytes); inkapi INKReturnCode INKVConnCacheObjectSizeGet(INKVConn connp; int *obj_size); inkapi int INKVIONBytesGet(INKVIO viop); inkapi INKReturnCode INKVIONBytesSet(INKVIO viop; int nbytes); inkapi int INKVIONDoneGet(INKVIO viop); inkapi INKReturnCode INKVIONDoneSet(INKVIO viop; int ndone); inkapi int INKVIONTodoGet(INKVIO viop); inkapi INKReturnCode INKIOBufferWaterMarkGet(INKIOBuffer bufp; int *water_mark); inkapi INKReturnCode INKIOBufferWaterMarkSet(INKIOBuffer bufp; int water_mark); inkapi int INKIOBufferCopy(INKIOBuffer bufp; INKIOBufferReader readerp; int length; int offset); inkapi int INKIOBufferWrite(INKIOBuffer bufp; const void *buf; int length); inkapi INKReturnCode INKIOBufferProduce(INKIOBuffer bufp; int nbytes); inkapi const char *INKIOBufferBlockReadStart(INKIOBufferBlock blockp; INKIOBufferReader readerp; int *avail); inkapi char *INKIOBufferBlockWriteStart(INKIOBufferBlock blockp; int *avail); inkapi int INKIOBufferReaderAvail(INKIOBufferReader readerp); inkapi int INKAIONBytesGet(void* data); There were also some deprecated APIs that are 'wrong'; but we should not modify those (ever).,Any more thoughts on this bug? I think we might need to postpone changing this until 3.0; to avoid breaking APIs in the 2.x release cycle. Alternatively; we'd have to add new 64-bit variants where necessary (which seems annoying).,Should we try to 'fix' this for 2.2? Or postpone for 2.4 or 3.0?,match the other InkAPI issue TS-14,,,,,,,,,,,,,,,
36205,,,,,,,,as for V2.1.4 and later; we do not seen any reproduce; so mark this issue as fixed,Moving this to 2.3 as clustering hasn't been used in production for many years so unless someone who wants to deploy it wants to take on hardening it right now; it isn't urgent.,,,,,,,,,,,,,,,,,,,
31347,,,,,,,,This has been in RESOLVED state for over one year so now closing; if it turns out to not be fixed please re-open.,Fixed in both 1.5.1 and 1.x by moving some wstx dependency to 3.2.4. See also http://jira.codehaus.org/browse/WSTX-135,It's possible that it's something to do with this change - TUSCANY-3212,The generated composite for the store-supplier is below. It's complaining that the namespace is not bound for... <wstxns1:binding.http name='Widget' uri='http://localhost:8103/ui' /> Which; looking at the XML; seems right. It only seems to bind the first occurrence of wstxns1 for some reason. <?xml version='1.0' encoding='UTF-8'?> <composite xmlns='http://www.osoa.org/xmlns/sca/1.0' xmlns:ns1='http://www.osoa.org/xmlns/sca/1.0' targetNamespace='http://store' name='store-supplier'> <component name='StoreSupplier' uri='StoreSupplier'> <wstxns1:implementation.widget xmlns:wstxns1='http://tuscany.apache.org/xmlns/sca/1.0' xmlns:widget='http://tuscany.apache.org/xmlns/sca/1.0' location='uiservices/store.html' /> <service name='Widget'> <interface.java interface='org.apache.tuscany.sca.implementation.widget.Widget' /> <wstxns1:binding.http name='Widget' uri='http://localhost:8103/ui' /> <callback /> </service> <reference name='catalog'> <wstxns1:binding.jsonrpc name='catalog--StoreSupplierCatalog..Catalog' uri='http://localhost:8103/StoreSupplierCatalog' /> <callback /> </reference> <reference name='shoppingCart'> <wstxns1:binding.atom name='shoppingCart--StoreSupplierShoppingCart..Cart' uri='http://localhost:8103/ShoppingCart/Cart' /> <callback /> </reference> <reference name='shoppingTotal'> <wstxns1:binding.jsonrpc name='shoppingTotal--StoreSupplierShoppingCart..Total' uri='http://localhost:8103/StoreSupplierShoppingCart/Total' /> <callback /> </reference> </component> <component name='StoreSupplierCatalog' uri='StoreSupplierCatalog'> <implementation.java class='services.merger.MergedCatalogImpl' /> <service name='Catalog'> <interface.java interface='services.Catalog' /> <wstxns2:binding.jsonrpc xmlns:wstxns2='http://tuscany.apache.org/xmlns/sca/1.0' xmlns:ns2='http://tuscany.apache.org/xmlns/sca/1.0' name='Catalog' uri='http://localhost:8103/StoreSupplierCatalog' /> <binding.ws name='Catalog' uri='http://localhost:8333/CatalogWebService' /> <callback /> </service> <reference name='fruitsCatalog'> <interface.java interface='services.Catalog' /> <binding.sca name='fruitsCatalog--StoreSupplierFruitsCatalog..Catalog' uri='/StoreSupplierFruitsCatalog' /> <callback /> </reference> <reference name='vegetablesCatalog'> <interface.java interface='services.Catalog' /> <binding.ws name='vegetablesCatalog--VegetablesCatalogWebService..Catalog' uri='http://localhost:8200/VegetablesCatalogWebService' /> <callback /> </reference> <reference name='currencyConverter'> <interface.java interface='services.CurrencyConverter' /> <binding.sca name='currencyConverter--StoreSupplierCurrencyConverter..CurrencyConverter' uri='/StoreSupplierCurrencyConverter' /> <callback /> </reference> <property xmlns:ns2='http://www.w3.org/2001/XMLSchema' name='currencyCode' mustSupply='false' many='false' type='ns2:string'>USD</property> </component> <component name='StoreSupplierFruitsCatalog' uri='StoreSupplierFruitsCatalog'> <implementation.java class='services.FruitsCatalogImpl' /> <service name='Catalog'> <interface.java interface='services.Catalog' /> <binding.sca name='Catalog' uri='/StoreSupplierFruitsCatalog' /> <callback /> </service> <reference name='currencyConverter'> <interface.java interface='services.CurrencyConverter' /> <binding.sca name='currencyConverter--StoreSupplierCurrencyConverter..CurrencyConverter' uri='/StoreSupplierCurrencyConverter' /> <callback /> </reference> <property xmlns:ns2='http://www.w3.org/2001/XMLSchema' name='currencyCode' mustSupply='false' many='false' type='ns2:string'>USD</property> </component> <component name='StoreSupplierShoppingCart' uri='StoreSupplierShoppingCart'> <implementation.java class='services.db.ShoppingCartTableImpl' /> <service name='Cart'> <interface.java interface='services.Cart' /> <wstxns3:binding.atom xmlns:wstxns3='http://tuscany.apache.org/xmlns/sca/1.0' xmlns:ns2='http://tuscany.apache.org/xmlns/sca/1.0' name='Cart' uri='http://localhost:8103/ShoppingCart/Cart' /> <callback /> </service> <service name='Total'> <interface.java interface='services.Total' /> <wstxns4:binding.jsonrpc xmlns:wstxns4='http://tuscany.apache.org/xmlns/sca/1.0' xmlns:ns2='http://tuscany.apache.org/xmlns/sca/1.0' name='Total' uri='http://localhost:8103/StoreSupplierShoppingCart/Total' /> <binding.ws name='Total' uri='http://localhost:8333/ShoppinCartTotalWebService' /> <callback /> </service> <property xmlns:ns2='http://www.w3.org/2001/XMLSchema' name='database' mustSupply='false' many='false' type='ns2:string'> ../store-supplier/target/cart-db</property> </component> <component name='StoreSupplierCurrencyConverter' uri='StoreSupplierCurrencyConverter'> <implementation.java class='services.CurrencyConverterImpl' /> <service name='CurrencyConverter'> <interface.java interface='services.CurrencyConverter' /> <binding.sca name='CurrencyConverter' uri='/StoreSupplierCurrencyConverter' /> <callback /> </service> </component> </composite>,,,,,,,,,,,,,,,,,
15084,,,,,,,,Hellow; I have the same problem after i haved updated my libs. I'm developping a application based on struts 2.0.1 beta. It works just fine before i replace libs by 2.0.5. Original config of my application is from Struts 2 blank; so i've check all config files; and i find that web.xml in 2.0.5 doesn't have these lines : <listener> <listener-class>org.springframework.web.context.ContextLoaderListener</listener-class> </listener> so; i've deleted these lines and my app works.,Thanks for the update,Sorry for the delay; had to send in my laptop and therefore couldn't be online. Anyway; it seems that the problem is fixed; I had another; older version of struts lying in my path and that caused the conflict. Sorry to bother you!,Could you also tell us on what platform and application server you are using?,Could you provide a list of jars you were using and perhaps a stripped down version of your app? Vinny's problem was due to an old xwork 2 jar; which didn't contain the proper files; IIRC.,,,,,,,,,,,,,,,,
38592,,,,,,,,in branch,on the list is just a thread ongoing about the renaming/repackaging. Once done; no adf-* jar is left! Thanks!,,,,,,,,,,,,,,,,,,,
61660,,,,,,,,Variables specified in data config are also resolved with system properties so there is no reason anymore to configure DIH via solrconfig. Hence; the bug can be worked around by using dataconfig instead of configuring via solrconfig.,moving all 4.0 issues not touched in a month to 4.1,rmuir20120906-bulk-40-change,bulk fixing the version info for 4.0-ALPHA and 4.0 all affected issues have 'hoss20120711-bulk-40-change' in comment,After looking closer I see this is only happening because I am specifying the dataimport config in the dataimporthandler config in solrcore.xml. Moving that to a datasource element in data-config.xml prevents this; but makes it hard to specify the connection properties in a way that is easily set in deployment.,dataimporthandler config:   <!-- data import handler -->   <requestHandler name='/dataimport' class='org.apache.solr.handler.dataimport.DataImportHandler'>     <lst name='defaults'>       <str name='config'>data-config.xml</str>       <lst name='datasource'>          <str name='driver'>${jdbc.readonly.driver}</str>          <str name='url'>jdbc:mysql://${jdbc.readonly.host}:${jdbc.readonly.port}/${jdbc.readonly.database}</str>          <str name='user'>${jdbc.readonly.user}</str>          <str name='password'>${jdbc.readonly.password}</str>       </lst>     </lst>   </requestHandler> curl http://localhost:8066/solr/catalog/dataimport  <response><lst name='responseHeader'><int name='status'>0</int><int name='QTime'>0</int></lst><lst name='initArgs'><lst name='defaults'><str name='config'>data-config.xml</str><lst name='datasource'><str name='driver'>com.mysql.jdbc.Driver</str><str name='url'>jdbc:mysql://localhost:3306/#REDACT#</str><str name='user'>#REDACT#</str><str name='password'>#REDACT#</str></lst></lst></lst><str name='status'>idle</str><str name='importResponse'/><lst name='statusMessages'><str name='Total Requests made to DataSource'>2125</str><str name='Total Rows Fetched'>1965</str><str name='Total Documents Skipped'>0</str><str name='Full Dump Started'>2011-10-03 11:31:02</str><str name=''>Indexing completed. Added/Updated: 236 documents. Deleted 0 documents.</str><str name='Committed'>2011-10-03 11:31:35</str><str name='Optimized'>2011-10-03 11:31:35</str><str name='Total Documents Processed'>236</str><str name='Time taken '>0:0:32.932</str></lst><str name='WARNING'>This response format is experimental.  It is likely to change in the future.</str></response>  log:      [java] INFO  SearchHandler - Adding  component:org.apache.solr.handler.component.StatsComponent@f786a3c      [java] INFO  SearchHandler - Adding  debug component:org.apache.solr.handler.component.DebugComponent@2a869113      [java] INFO  DataImportHandler - Processing configuration from solrconfig.xml: {config=data-config.xml;datasource={driver=com.mysql.jdbc.Driver;url=jdbc:mysql://localhost:3306/#REDACT#;user=#REDACT#;password=#REDACT#}}      [java] INFO  DataImportHandler - Adding properties to datasource: {user=#REDACT#; password=#REDACT#; url=jdbc:mysql://localhost:3306/#REDACT#; driver=com.mysql.jdbc.Driver}      [java] INFO  DataImporter - Data Configuration loaded successfully,Can you please give me a log fragment showing this? The log files do have the jdbc url so it is advisable to use the user and password attributes on JdbcDataSource rather than putting them in the jdbc url itself.,,,,,,,,,,,,,,
73977,,,,,,,,Applied patch from Jasvir. Also corrected case error in Enum type in Java,Changes java/social-api/src/main/java/org/apache/shindig/social/opensocial/model/Enum.java and javascript/sampledata/canonicaldb.json to make consistent all uses of displayValue.,Changes java/social-api/src/main/java/org/apache/shindig/social/opensocial/model/Enum.java and javascript/sampledata/canonicaldb.json to make consistent all uses of displayValue.,,,,,,,,,,,,,,,,,,
77185,,,,,,,,Closing all resolved/fixed issues of already released versions of Roller.,Done in trunk; before 3.0 branch,1) Apache license headers applied to all files. 2) Entire application repackaged from org.roller to org.apache.roller. 3) The Enhanced JavaScript editor (editor-text-js.jsp) has been completely removed from Roller (LGPL) 4) The Weblog Entry spell checked has also been completely removed from Roller (LGPL) Fixed and tested on BSC;Sfbay and Blogs-tst,,,,,,,,,,,,,,,,,,
50449,,,,,,,,Does not occurs on Firefox or Curl. Probably a Chrome problem.,,,,,,,,,,,,,,,,,,,,
18301,,,,,,,,Issue is resolved. Closing per Bryant's approval to do so.,,,,,,,,,,,,,,,,,,,,
1671,,,,,,,,Integrated in ZooKeeper-trunk #271 (See http://hudson.zones.apache.org/hudson/job/ZooKeeper-trunk/271/),Mahadev; Thanks for you help on this patch,I opened another jira for intergrating this patch into the hudson patch testing for all the patches ZOOKEEPER-361.,+1 for the patch ... I just committed this. thanks giri.,the test failure is not related to this patch. FLEnewtest is failing.,-1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12404407/ZOOKEEPER-60.patch against trunk revision 761126. +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 21 new or modified tests. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. -1 core tests. The patch failed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/8/testReport/ Findbugs warnings: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/8/artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/8/console This message is automatically generated.,making it run through hudson again.,also the command to run cpp tests via ant is ant create-cppunit-configure test-cppunit -Dcppunit=true and not create-configure-cppunit as mentioned above.,the last patch had a nbug. it does nto work with make run-check in the c directory. I changed the tests/zkserver.sh sothat it now works with make run-check.,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12403671/ZK-60.patch against trunk revision 759273. +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 21 new or modified tests. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/5/testReport/ Findbugs warnings: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/5/artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/5/console This message is automatically generated.,+1 overall. Here are the results of testing the latest attachment http://issues.apache.org/jira/secure/attachment/12403671/ZK-60.patch against trunk revision 759273. +1 @author. The patch does not contain any @author tags. +1 tests included. The patch appears to include 21 new or modified tests. +1 javadoc. The javadoc tool did not generate any warning messages. +1 javac. The applied patch does not increase the total number of javac compiler warnings. +1 findbugs. The patch does not introduce any new Findbugs warnings. +1 release audit. The applied patch does not increase the total number of release audit warnings. +1 core tests. The patch passed core unit tests. +1 contrib tests. The patch passed contrib unit tests. Test results: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/4/testReport/ Findbugs warnings: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/4/artifact/trunk/build/test/findbugs/newPatchFindbugsWarnings.html Console output: http://hudson.zones.apache.org/hudson/job/Zookeeper-Patch-vesta.apache.org/4/console This message is automatically generated.,re-submitting the patch.,Thanks to Mahadev for his help on this patch. With this patch the users of make can continue doing the make calls from src/c folder as they were doing before.,I don't see a way in gettin this done; only way that I see here it to pass the location of the zkserver.sh as an argument to the TestClient.cc file. Mahadev said he will be looking into this.,Giri; thanks for incorporating the feedback. It's unfortunate though that we will require src/c based testers to set the PATH. As you know it's already fairly complex steps/dependencies to setup testing in src/c; this just adds another stumbling point. Couldn't you have 2 locations for the script? './tests/test-zkServer.sh'; which if found is used; otw just try test-zkServer.sh and rely on the path? I think this fairly simple change would allow what you are trying to do while not adding further burden on user.,Here is the patch which addresses the comments added by Patrick Renamed the zkServer.sh to tests-zkServer.sh; hence the conflict with zkServer.sh in the bin folder is avoided. Also restored the compile_jute check in the configure.ac by introducing a flag. If user wants to run tests directly from the src/c folder they have to export PATH variable as fuser binary is not available in the users path. (fuser binary sits in the /sbin dir). so adding tests folder to the path may not an overhead.,I think Mahadev's concern is the change: -#define ZKSERVER_CMD './tests/zkServer.sh' +#define ZKSERVER_CMD 'zkServer.sh' unless tests dir is in your path 'make run-check' will fail when run directly in src/c. In build.xml you are adding tests dir to the PATH; however for someone running make directly from src/c this will fail. Also notice that trunk/bin contains a similarly named script - so in build.xml you want to prepend the tests directory (zkServer.sh location) to the PATH otw it may pickup the wrong script. Also; the change to config.ac to remove the check for the generated code; why was this done? I don't think we should remove this; in case someone runs make directly from src/c (not build.xml) Basically we need to ensure that users of both build.xml; and users running make directly from src/c; are both able to compile/test successfully. Perhaps the PATH just needs to be specified when running 'make run-check' - ie update the PATH in the makefile rather than in the build.xml. I think this would address the issue for both users of make and build.xml.,I hardly changed anything in the Makefile.am so it should work with the same set of env variables set in the build.xml,does make run-check in the c directory still working with these changes?,this patch adds couple of ant target's to execute the cppunit tests.. To execute the cppunit test use ant create-configure-cppunit test-cppunit -Dcppunit=true create-configure-cppunit target runs the autoreconf and test-cppunit executes the test. Please review tnx!,Giri said he may look into this. There are a few pre-reqs to running the cppunit tests: 1) run 'ant jar' from the trunk first a) generates c/java source for jute; necessary to build/run the c/tests b) run 'autoconf -if' from the src/c dir c) run './configure' from the src/c/dir 2) cppunit is required to run the tests 3) on redhat I had to install autoconf 2.59_2; automake 1.9.4; cppunit 1.12.0 and used gcc 3 (3.4.2 to be exact) in order to run autoreconf/configure/make 4) from src/c run 'make run-check' to run the tests 'make check' will just compile the tests 5) the tests assume that the jar file for the server has been built a) some mock based tests are run that don't use the server jar b) some server based tests are run that do require the jar - see zkServer.sh in the test directory; run by the unit harness 6) afaik the only output of the tests is to the console (success/failure) there are two tests run by make; zktest_st and zktest_mt for the single and multi threaded tests respectively
81122,,,,,,,,Committed to 0.18 branch r1366206,Subsequent discussion with Alan and Gordon has persuaded me to approve this change. It's not a strict bug fix; but without it; some kind of patch is necessary. Given that the change is isolated to the ha component and generally represents a low risk; I approve this for 0.18 (reversing the comment above). Reviewed by Gordon.,This is a defect; but one I'd characterize more as a functionality gap than an ordinary bug. At any rate; I think it's too big a change leading up to RC1; so I think it should wait for the next release.,Merged to trunk; awaiting permission for 0.18 ------------------------------------------------------------------------ r1361334 | aconway | 2012-07-13 14:45:23 -0400 (Fri; 13 Jul 2012) | 6 lines QPID-4107 HA does not replicate alternate-exchange Set alternate exchange on replicated queues and exchanges. If the exchange is available; set it immediately. Otherwise remember what needs to be set so it can be set when the exchange becomes available. ------------------------------------------------------------------------,Review approved by gsim,Review at https://reviews.apache.org/r/5919/ Request merge to 0.18.,,,,,,,,,,,,,,,
53882,,,,,,,,Fixed in both the current trunk and 1.2.x branch; thanks for reporting this: http://svn.apache.org/viewcvs.cgi?rev=383718&view=rev http://svn.apache.org/viewcvs.cgi?rev=383720&view=rev As well as LookupDispatchAction I also modified DispatchAction and ActionDispatcher which could expose the same issue when the NoSuchMethodException is thrown for an invalid method input through a parameter. Closing as FIXED.,I agree we should fix this. We had a similar thing recently and not all servlet containers we're affected - it depended on whether the container filtered the output from the exception: åÊåÊåÊhttp://wiki.apache.org/struts/StrutsXssVulnerability As a workaround in the meantime you have a few options: 1) Configure a Struts exception handler 2) Configure a custom error page for your servlet container 3) Have a custom LookupDispatchAction overriding the getLookupMapName() method: åÊåÊåÊprotected String getLookupMapName(HttpServletRequest request; åÊåÊåÊåÊåÊåÊåÊåÊString keyName; ActionMapping mapping) åÊåÊåÊåÊåÊåÊåÊåÊthrows ServletException { åÊåÊåÊåÊåÊåÊåÊtry { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊsuper.getLookupMapName(request; keyName; mapping); åÊåÊåÊåÊåÊåÊåÊ} catch (Exception e) { åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊlog.error('LookupDispatchAction error ' + e); åÊåÊåÊåÊåÊåÊåÊåÊåÊåÊåÊthrow new ServletException('Error in LookupDispatchAction'); åÊåÊåÊåÊåÊåÊåÊ} åÊåÊåÊ},(In reply to comment #2) > On second thought; I think we may want to mark this as INVALID depending on your > response. This is not a problem with the classes; but with the lack of > Validation. You should put validation on 'method' parameter - does Struts allow > validation on parameters which are not explicitly defined in forms? Yes (in answer to your first question); the alert box does pop up. Sorry for not saying so implicitly originally. Yes; I could put validation on the form. That's a possibility which hadn't occured to me. It's not going to be trivial to validate the field though; since I'm using LookupDispatchAction; so the legal parameter values are in the application's resource bundle; and the corresponding keys are already in the Map used by the Lookup. So if I do write a simple validator; I'm going to lose the i18n abilities; and if I write a more robust one; then I'm reimplementing what LookupDispatchAction does anyway. And on top of that; it puts another requirement on the user (to explicitly write the validation). Wouldn't it be more robust to just not echo the dodgy value?,On second thought; I think we may want to mark this as INVALID depending on your response. This is not a problem with the classes; but with the lack of Validation. You should put validation on 'method' parameter - does Struts allow validation on parameters which are not explicitly defined in forms?,I'll write up a patch for this ticket over the weekend. Tommy; so did it cause the JavaScript alert box to popup?,,,,,,,,,,,,,,,,
4163,,,,,,,,No reply; closing.,I admit that you've got a point. On the other hand; the XML-RPC spec does neither allow to send custom elements (which might include the exception and be evaluated by the XmlRpcClient) nor does it attempt to specify the error messages contents. My personal opinion is: When in doubt; transfer more information. I'd leave this as it is.,,,,,,,,,,,,,,,,,,,
38291,,,,,,,,I should have marked this resolved back in September.,uploaded a patch for the next 1.2 branch when it is created.,Committed to trunk at svn revision 580164,We decided to call it <translation-source> and not allow both bundle-name and translation-source. The translation source can point to a Map or a ResourceBundle.,,,,,,,,,,,,,,,,,
78211,,,,,,,,Also fixed in main 0.9.7 branch,,,,,,,,,,,,,,,,,,,,
58484,,,,,,,,Build on Windows looks also okay but there are still other problem loading the model data for the entity hub.,Confirmed; it builds fine on the environment from my comment above. Also builds fine on my regular config: Apache Maven 3.0.3 (r1075438; 2011-02-28 18:31:09+0100) Maven home: /opt/local/share/java/maven3 Java version: 1.6.0_24; vendor: Apple Inc. Java home: /System/Library/Java/JavaVirtualMachines/1.6.0.jdk/Contents/Home Default locale: en_US; platform encoding: MacRoman OS name: 'mac os x'; version: '10.6.8'; arch: 'x86_64'; family: 'mac',Can you please check if the problem is fixed with r1145463 - on my machine the build runs fine now.,Seams like this depends on the ordering in that some Classes are loaded by the JVM. You could try to run the JVM in verbose mode than you should see what classes are loaded form what jar.,I have reproduced the error on a VirtualBox v4.08 virtual machine running Ubuntu 10.4 and the following configuration. Apache Maven 2.2.1 (rdebian-1) Java version: 1.6.0_20 Java home: /usr/lib/jvm/java-6-openjdk/jre Default locale: en_US; platform encoding: UTF-8 OS name: 'linux' version: '2.6.32-32-generic' arch: 'i386' Family: 'unix' However if I do not include the reasoners bundles in the launcher; the other components (including ontonet) start without a problem. Even after installing the reasoners bundles and restarting sling; all components still activate.,I think this bug is related to STANBOL-205.,This is the complete log of build 287 currently available at [1]. However this will be overridden by the next build. Therefore this attachment. [1] https://builds.apache.org/job/stanbol-trunk-1.6/ws/trunk/integration-tests/target/launchdir/sling/logs/error.log,,,,,,,,,,,,,,
8202,,,,,,,,*** Bug 8704 has been marked as a duplicate of this bug. ***,*** Bug 7134 has been marked as a duplicate of this bug. ***,Kent; åÊåÊåÊåÊYour patch (a good catch) is in CVS; please help verify and close the bug; thanks. Rgds; Peiyong,,,,,,,,,,,,,,,,,,
50889,,,,,,,,Seems like this has all been done.,,,,,,,,,,,,,,,,,,,,
81230,,,,,,,,The above commits were approved by Justin on the dev list; and have now been merged to the 0.18 branch.,,,,,,,,,,,,,,,,,,,,
44105,,,,,,,,Closed due to the release of Tiles 2.1.0.,,,,,,,,,,,,,,,,,,,,
13997,,,,,,,,Integrated in Struts2-JDK6 #573 (See https://builds.apache.org/job/Struts2-JDK6/573/) WW-3928 Rollbacks changes introduced with WW-2749 to allow work with mod_jk and so on (Revision 1415770) Result = SUCCESS lukaszlenart : Files : /struts/struts2/trunk/plugins/tiles/src/main/java/org/apache/struts2/tiles/StrutsTilesRequestContext.java,,,,,,,,,,,,,,,,,,,,
75901,,,,,,,,Refactoring out common code into a parent processing class for ack request/close/terminate,Patch for storing the close message,The first patch is to store the terminate message,,,,,,,,,,,,,,,,,,
4691,,,,,,,,Fixed; closing,Should be fixed for win32 with revision 156722.,Looks like this applies to xsdtree as well.,,,,,,,,,,,,,,,,,,
46218,,,,,,,,was introduced with THRIFT-1267,JavaScript testsuite with jslint; gjslint; QUnit and phantomjs might be a look worth to achieve this.,I can take this on since I wrote the original code.,,,,,,,,,,,,,,,,,,
37860,,,,,,,,Attention: - Please refer https://issues.apache.org/jira/browse/TRINIDAD-1145 for a possible fix,since there was no fix... we remove the fix version....,,,,,,,,,,,,,,,,,,,
74491,,,,,,,,Chain 1.2 is now available in the m2 repo. Updated patches to include logging 1.1.1 and scxml 0.8,Commons SCXML should go to latest release (v0.8) as well. Editing issue summary to list the three Commons libraries mentioned so far.,Attaching patches for the trunk and 1.x branch. BTW Commons Chain 1.2 hasn't yet hit the central repo - so probably worth holding off until it has: http://repo1.maven.org/maven2/commons-chain/commons-chain/,,,,,,,,,,,,,,,,,,
25612,,,,,x,,,Sorry for the link 'block'; can't undo it... I wanted to add a 'clone' link.,Hi; I didn't dive into VFS for a while; but I remember there were some wrappers used around input streams; but I'm not sure... ‰ÛÒ Cordialement; /// (. .) ------- ooO (_) Ooo------- ----------------------------- http://reflex.gforge.inria.fr/ Have the RefleX !,I'm curious as to how VFS could fix this issue. doGetInputStream just does return new FileInputStream(file); All interaction with the InputStream after that is handled by the JDK.,I ran into the same problem. A workaround seems to be wrapping the InputStream into a BufferedInputStream; like here (using your sample): InputStream is = new BufferedInputStream(f.getInputStream()); is.mark( 1024 ); while (true) { int data = is.read(); if (data == -1) break; } is.reset();,,,,,,,,,,,,,,,,,
